N	2gram	Trubetskoy	TeoriaLi
1	в качестве	3	33
2	в мире	5	26
3	не только	10	24
4	и в	26	24
5	то есть	4	22
6	состоит в	2	22
7	может быть	10	22
8	в том	11	20
9	при этом	3	20
10	и не	8	17
11	а в	4	15
12	но и	9	14
13	так и	6	14
14	а не	5	14
15	в себе	6	14
16	в рамках	3	13
17	но не	8	13
18	представляет собой	3	13
19	в этом	15	12
20	то же	4	12
21	но в	7	12
22	в его	5	12
23	том что	7	11
24	точки зрения	13	11
25	лишь в	5	10
26	отношению к	3	10
27	что в	9	10
28	не в	2	9
29	с другой	8	9
30	в то	4	9
31	только в	4	9
32	не может	4	8
33	по своей	2	8
34	как бы	12	8
35	же время	2	8
36	или иной	2	7
37	в своем	3	7
38	а также	2	7
39	мы имеем	2	7
40	отношение к	5	7
41	в области	9	7
42	в самом	4	7
43	в нем	4	7
44	не менее	3	6
45	еще не	2	6
46	то что	7	6
47	или менее	5	6
48	более или	5	6
49	с другими	4	6
50	или иначе	3	6
51	уже не	3	6
52	приводит к	2	6
53	с его	2	6
54	в виду	2	5
55	для того	5	5
56	и о	3	5
57	для него	3	5
58	так или	3	5
59	между тем	2	5
60	того чтобы	5	5
61	того что	3	5
62	он не	4	5
63	можно сказать	3	5
64	никогда не	5	4
65	сказать что	2	4
66	в отношении	6	4
67	в силу	5	4
68	и т.д	6	4
69	в этих	4	4
70	что он	4	4
71	по своему	2	4
72	далеко не	4	4
73	к тому	6	4
74	того же	6	4
75	в свою	2	4
76	и что	4	4
77	и потому	6	3
78	во всех	2	3
79	из этих	10	3
80	одной стороны	7	3
81	в которой	3	3
82	без остатка	2	3
83	и для	5	3
84	тем не	3	3
85	и как	3	3
86	если бы	3	3
87	к которому	2	3
88	в таком	3	3
89	одним из	2	3
90	с этой	3	3
91	с одной	7	3
92	а с	7	3
93	не с	2	3
94	именно в	2	3
95	потому что	7	3
96	том числе	5	3
97	прежде всего	2	3
98	к его	2	3
99	и к	5	3
100	только не	2	3
101	из которого	3	3
102	с точки	6	3
103	все эти	6	3
104	той или	2	3
105	и по	4	3
106	связи с	9	3
107	в связи	3	3
108	таким образом	22	3
109	в этой	4	3
110	в одном	3	3
111	вслед за	2	3
112	не могут	2	2
113	для всех	2	2
114	так же	5	2
115	если в	3	2
116	каждая из	3	2
117	не всегда	2	2
118	отличается от	2	2
119	и даже	3	2
120	в конце	6	2
121	и здесь	2	2
122	либо в	2	2
123	превращается в	2	2
124	в значительной	3	2
125	ни было	2	2
126	и другие	3	2
127	никем не	2	2
128	вместе с	15	2
129	в одно	2	2
130	не могло	2	2
131	одной из	5	2
132	к нему	7	2
133	и является	2	2
134	числе и	4	2
135	и это	2	2
136	духовной культуры	3	2
137	о том	6	2
138	в самой	2	2
139	не вполне	3	2
140	есть как	2	2
141	и на	2	2
142	этой точки	2	2
143	из которых	4	2
144	один из	2	2
145	в них	2	2
146	несмотря на	6	2
147	к жизни	5	2
148	что и	6	2
149	и больше	2	2
150	то ни	2	2
151	и особенно	2	2
152	все это	6	2
153	случае не	3	2
154	совершенно иной	2	2
155	бы то	2	2
156	быть и	2	2
