N	3gram	Bakhtin_Pr	Dialekti
1	с точки зрения	13	46
2	по крайней мере	2	26
3	сама по себе	2	26
4	в том что	6	25
5	не может быть	8	18
6	тем не менее	2	16
7	то же время	8	15
8	в то же	8	14
9	ровно ничего не	2	12
10	о том что	3	12
11	с другой стороны	3	12
12	на то что	2	11
13	в этом смысле	5	8
14	той или иной	2	7
15	можно сказать что	6	7
16	и прежде всего	5	6
17	более или менее	3	6
18	может быть и	2	6
19	в зависимости от	3	6
20	и в то	3	6
21	до сих пор	8	5
22	в нем нет	3	5
23	по сравнению с	6	5
24	того и другого	2	4
25	можно было бы	2	4
26	самом же деле	2	3
27	но в то	3	3
28	мы находим в	3	3
29	с самого начала	4	3
30	как и в	4	3
31	даже и не	3	3
32	хотя и не	3	3
33	это конечно не	2	3
34	и в нем	2	3
35	на самом же	2	3
36	и не может	6	3
37	тех или иных	2	3
38	теперь мы можем	2	2
39	том что все	2	2
40	в широком смысле	2	2
41	никогда не может	2	2
42	у достоевского в	2	2
43	друг с другом	6	2
44	в себе самом	2	2
45	в отношении к	2	2
46	теперь мы должны	2	2
47	друг от друга	2	2
48	хотя бы и	2	2
49	в собственном смысле	3	2
50	дело в том	3	2
51	мы уже сказали	2	2
52	времени и пространства	2	2
53	в каждом из	3	2
