N	3gram	Losev_Prob	Problemy
1	в то же	2	26
2	с точки зрения	13	25
3	по отношению к	2	18
4	в этом смысле	4	16
5	на самом деле	2	15
6	не может быть	2	14
7	но в то	2	11
8	в конце концов	7	11
9	до сих пор	3	10
10	с самого начала	3	9
11	во всяком случае	6	9
12	с другой стороны	7	9
13	в том что	13	8
14	бы то ни	4	7
15	сама по себе	2	7
16	то перед нами	2	7
17	том что он	3	6
18	то ни было	2	6
19	по крайней мере	8	5
20	той или иной	4	5
21	сам по себе	3	5
22	к тому же	5	5
23	можно было бы	2	5
24	но все же	2	5
25	в той или	2	5
26	и прежде всего	2	4
27	тем не менее	8	4
28	и не в	2	4
29	о том что	14	4
30	как и у	2	4
31	в этом отношении	4	4
32	хотя и не	3	4
33	в то время	4	3
34	в данном случае	5	3
35	на то что	2	3
36	все же не	3	3
37	в настоящее время	7	3
38	то время как	4	3
39	никак не может	2	3
40	к другому и	2	3
41	а может быть	2	3
42	можно сказать что	4	3
43	то же самое	2	2
44	этой точки зрения	2	2
45	то что в	2	2
46	в чем не	2	2
47	как и его	2	2
48	не только в	5	2
49	в этом произведении	2	2
50	в нем и	2	2
51	вместе с тем	5	2
52	ни в чем	2	2
53	дело в том	4	2
54	для того чтобы	3	2
55	не в силах	3	2
56	как будто бы	3	2
57	в том или	3	2
58	в свою очередь	2	2
