N	3gram	Propp_Isto	Komedia
1	в том что	4	29
2	до сих пор	7	16
3	о том что	5	13
4	для того чтобы	3	11
5	в то время	3	11
6	по отношению к	2	9
7	то время как	3	9
8	с одной стороны	7	9
9	вместе с тем	7	9
10	с другой стороны	10	8
11	после того как	4	6
12	в связи с	6	6
13	лет тому назад	2	6
14	в том числе	3	6
15	и т д	36	5
16	о том как	4	5
17	тем не менее	6	5
18	в это время	2	4
19	что и в	3	4
20	т е в	6	4
21	так как он	2	4
22	но все же	6	4
23	что у него	2	4
24	наряду с этим	3	3
25	таким образом в	2	3
26	но и в	2	3
27	друг с другом	2	3
28	то что он	2	3
29	на то что	3	3
30	том числе и	2	3
31	мы имеем в	2	2
32	как мы видели	2	2
33	подобно тому как	2	2
34	точно так же	3	2
35	так и в	2	2
36	не только в	2	2
37	в этом случае	13	2
38	так же как	10	2
39	и таким образом	2	2
40	этой точки зрения	2	2
41	как и в	4	2
42	с этой точки	2	2
43	если не считать	2	2
44	к себе в	2	2
