N	2gram	Tiupa_Disk	Morfolog
1	может быть	29	61
2	в сказке	3	27
3	таким образом	4	26
4	могут быть	5	21
5	мы имеем	4	19
6	не может	17	19
7	в этом	29	18
8	в этих	4	17
9	представляет собой	24	17
10	и в	27	17
11	и не	25	16
12	представляют собой	2	16
13	перед нами	4	14
14	с этим	3	14
15	прежде всего	17	14
16	и др	3	12
17	связи с	4	12
18	а не	35	11
19	заметить что	2	11
20	вопрос о	2	10
21	то же	12	10
22	в том	29	10
23	не всегда	2	10
24	то что	10	10
25	так и	14	10
26	что в	8	10
27	что и	5	10
28	этом случае	3	10
29	все же	8	9
30	но и	22	9
31	с другой	14	9
32	о животных	3	9
33	не только	36	8
34	в тех	2	8
35	в результате	3	8
36	но не	17	8
37	а в	5	8
38	мы не	2	8
39	в качестве	45	8
40	как мы	2	8
41	не могут	2	7
42	том что	27	7
43	если в	2	7
44	по отношению	13	7
45	не менее	6	7
46	отношению к	13	7
47	как это	2	7
48	а также	15	7
49	точки зрения	6	7
50	во втором	5	7
51	один из	3	7
52	потому что	7	7
53	это не	5	6
54	сказки и	2	6
55	но это	3	6
56	во всех	6	6
57	и как	9	6
58	или в	2	6
59	также и	6	6
60	подобно тому	4	6
61	в нашем	2	6
62	о том	12	6
63	с точки	3	6
64	в форме	2	6
65	как бы	9	6
66	сказки о	3	6
67	они и	3	5
68	и ее	5	5
69	хотя бы	3	5
70	об этом	3	5
71	в ходе	5	5
72	со стороны	17	5
73	героя в	6	5
74	что он	6	5
75	как в	16	5
76	далеко не	10	5
77	к тому	6	5
78	между тем	5	5
79	в целом	5	5
80	другой стороны	5	5
81	между собой	2	5
82	на его	4	5
83	тому как	5	5
84	все эти	2	5
85	он не	4	5
86	в первом	4	5
87	хотя и	3	5
88	сказать что	4	4
89	в то	8	4
90	к этому	4	4
91	на него	2	4
92	тем что	4	4
93	не является	5	4
94	еще не	20	4
95	могла бы	2	4
96	самом деле	2	4
97	из них	6	4
98	но в	15	4
99	но все	2	4
100	как и	27	4
101	входит в	2	4
102	уже не	7	4
103	и к	4	4
104	на этом	3	4
105	говорить о	3	4
106	или не	2	3
107	в сказках	2	3
108	но как	2	3
109	последовательность событий	2	3
110	в которой	2	3
111	это было	2	3
112	целый ряд	2	3
113	друг друга	2	3
114	это и	2	3
115	и тем	2	3
116	из двух	5	3
117	не в	8	3
118	героя и	2	3
119	с этой	2	3
120	в пределах	4	3
121	в какой	2	3
122	того что	4	3
123	приводит к	4	3
124	так например	2	3
125	как уже	5	3
126	они не	2	3
127	ни в	7	3
128	состоит в	20	3
129	в большинстве	3	3
130	но для	2	3
131	а по	2	3
132	к чему	2	3
133	большинстве случаев	2	3
134	и вне	2	3
135	в начале	2	3
136	можно назвать	2	3
137	и что	2	3
138	то с	2	3
139	и по	2	3
140	и его	4	3
141	или на	3	3
142	только в	9	3
143	в сущности	3	3
144	и есть	2	3
145	в этой	5	3
146	с его	9	3
147	данном случае	6	2
148	это еще	2	2
149	не от	2	2
150	себя в	8	2
151	которое может	2	2
152	в данном	9	2
153	из этих	3	2
154	одной стороны	12	2
155	дело не	3	2
156	а потом	2	2
157	волшебной сказке	2	2
158	к себе	2	2
159	в другом	5	2
160	и даже	4	2
161	или менее	2	2
162	роль в	10	2
163	в данной	3	2
164	этом отношении	4	2
165	не на	3	2
166	в частности	18	2
167	одним из	2	2
168	ни к	11	2
169	что ни	3	2
170	в чем	2	2
171	не знает	4	2
172	к различным	2	2
173	наших дней	2	2
174	с одной	12	2
175	должна быть	2	2
176	в свое	3	2
177	а с	8	2
178	не с	4	2
179	одной из	4	2
180	как их	2	2
181	за которым	2	2
182	более или	2	2
183	их в	2	2
184	в своих	6	2
185	в различных	2	2
186	оно не	2	2
187	быть и	2	2
188	но они	3	2
189	в которых	5	2
190	однако в	3	2
191	но здесь	2	2
192	что же	4	2
193	в одной	4	2
194	всяком случае	2	2
195	должны быть	3	2
196	к другому	3	2
197	тогда как	28	2
198	и сказки	6	2
199	себя и	2	2
200	все это	2	2
201	в основе	11	2
202	как будто	3	2
203	например в	4	2
204	можно сказать	7	2
205	и сказка	3	2
206	момент в	3	2
207	для него	9	2
208	в одном	5	2
209	во всяком	3	2
210	по своему	3	2
