N	2gram	Tiupa_Hudo	Sotsiolo
1	истории литературы	2	10
2	все это	2	7
3	в том	20	5
4	в этом	12	5
5	не только	20	3
6	в его	11	3
7	не в	9	3
8	и в	23	3
9	о литературе	3	3
10	это и	2	2
11	дело не	2	2
12	отношению к	10	2
13	по отношению	10	2
14	еще не	4	2
15	только в	7	2
16	что в	7	2
17	тем более	2	2
18	в частности	18	2
19	том что	9	2
20	таким образом	3	2
21	то же	12	2
22	и что	4	2
23	к которому	4	2
24	то что	5	2
25	как бы	11	2
26	но и	14	2
27	за пределы	2	2
28	или даже	3	2
29	далеко не	4	2
30	может быть	19	2
