N	3gram	Voloshinov	Myslijsy
1	в том что	9	47
2	по отношению к	11	26
3	не может быть	14	19
4	тем не менее	4	18
5	сам по себе	4	14
6	в свою очередь	4	14
7	то же время	6	13
8	в то же	6	13
9	во всяком случае	8	12
10	до сих пор	3	12
11	для того чтобы	3	11
12	с одной стороны	2	10
13	мы не можем	3	9
14	о том что	3	9
15	в таком случае	4	9
16	не могут быть	4	9
17	что и в	2	9
18	на самом деле	4	8
19	так и в	3	8
20	можно сказать что	5	7
21	одной и той	3	7
22	и той же	3	7
23	с точки зрения	15	7
24	в этом смысле	2	7
25	то же самое	2	6
26	с самого начала	5	6
27	и может быть	2	6
28	то что мы	2	6
29	таким образом в	2	5
30	что мы называем	2	5
31	к тому что	2	5
32	все то что	3	4
33	и тот же	3	4
34	в данном случае	4	4
35	мы видели что	3	4
36	в этом отношении	4	4
37	в собственном смысле	3	4
38	один и тот	3	4
39	на этот вопрос	3	4
40	бы то ни	3	3
41	что же касается	3	3
42	но во всяком	3	3
43	том что он	2	3
44	в применении к	2	3
45	в большинстве случаев	5	3
46	хотя бы и	2	3
47	заключается в том	2	3
48	мы увидим что	4	3
49	в таком виде	2	3
50	равно как и	2	3
51	в связь с	2	2
52	но вместе с	2	2
53	можем сказать что	5	2
54	только то что	3	2
55	как мы видели	8	2
56	то ни было	2	2
57	в таких случаях	2	2
58	а следовательно и	2	2
59	у нас в	2	2
60	мы могли бы	2	2
61	к тому чтобы	3	2
62	и не может	3	2
63	и по отношению	2	2
64	что все эти	3	2
65	связь с другими	2	2
