N	2gram	Vygotskiy_	VerxiiNi
1	и в	55	26
2	таким образом	38	22
3	с тем	11	18
4	в этом	21	15
5	вместе с	10	15
6	точки зрения	32	13
7	как бы	11	12
8	в том	55	11
9	не только	25	10
10	из этих	6	10
11	и с	5	10
12	может быть	35	10
13	что в	39	9
14	так как	28	9
15	в области	12	9
16	связи с	2	9
17	но и	12	9
18	но не	5	8
19	с другой	7	8
20	в общем	2	8
21	главным образом	3	8
22	и у	6	8
23	и не	24	8
24	как на	6	8
25	к нему	3	7
26	потому что	27	7
27	одной стороны	7	7
28	из них	4	7
29	то что	47	7
30	с одной	6	7
31	но в	5	7
32	том что	30	7
33	а с	2	7
34	представление о	6	6
35	в отношении	3	6
36	все же	9	6
37	к тому	8	6
38	о том	11	6
39	мы должны	4	6
40	того же	3	6
41	в себе	6	6
42	в конце	6	6
43	несмотря на	8	6
44	всяком случае	7	6
45	что и	27	6
46	с точки	12	6
47	все эти	7	6
48	все это	11	6
49	и потому	2	6
50	так и	6	6
51	во всяком	9	6
52	никогда не	13	5
53	и для	9	5
54	не имеет	3	5
55	более или	3	5
56	так же	29	5
57	и к	5	5
58	в силу	4	5
59	отношение к	3	5
60	к жизни	2	5
61	того чтобы	13	5
62	в его	8	5
63	тем чтобы	2	5
64	для того	12	5
65	а не	18	5
66	тому же	4	5
67	образом в	3	5
68	сих пор	8	5
69	до сих	8	5
70	или менее	3	5
71	на этот	2	4
72	и от	4	4
73	что все	10	4
74	далеко не	7	4
75	а в	10	4
76	с другими	2	4
77	в котором	5	4
78	в самом	18	4
79	в нем	5	4
80	не может	30	4
81	в смысле	3	4
82	и тогда	3	4
83	в которых	5	4
84	что оно	4	4
85	и вместе	2	4
86	то есть	44	4
87	из которых	5	4
88	целый ряд	12	4
89	то же	17	4
90	и что	28	4
91	и по	7	4
92	в этих	6	4
93	только в	18	4
94	что он	17	4
95	и только	5	4
96	он не	8	4
97	в этой	5	4
98	в то	8	4
99	что это	12	3
100	в своем	3	3
101	из всех	4	3
102	если в	2	3
103	оказывается что	5	3
104	к ним	4	3
105	большей частью	3	3
106	точно так	6	3
107	и если	4	3
108	уже не	3	3
109	хотя бы	4	3
110	и нет	2	3
111	к этому	5	3
112	в результате	4	3
113	в которой	6	3
114	тем не	6	3
115	представляет собой	2	3
116	и даже	11	3
117	и как	9	3
118	из которого	6	3
119	что эти	3	3
120	если бы	10	3
121	и те	5	3
122	же как	8	3
123	в других	3	3
124	при этом	28	3
125	всегда и	2	3
126	конце концов	6	3
127	не менее	9	3
128	по учению	3	3
129	у них	2	3
130	когда он	11	3
131	в качестве	3	3
132	и при	3	3
133	с этой	8	3
134	в связи	3	3
135	и другие	5	3
136	подойти к	2	3
137	в таком	5	3
138	так что	8	3
139	случае не	2	3
140	ясно что	22	3
141	и о	4	3
142	можно сказать	2	3
143	и таким	4	3
144	в одном	4	3
145	того что	15	3
146	по своему	2	2
147	мы видели	2	2
148	одно из	2	2
149	сказать что	12	2
150	которые в	3	2
151	этой точки	7	2
152	из этого	5	2
153	по сравнению	3	2
154	и это	6	2
155	не могут	6	2
156	на то	17	2
157	утверждать что	9	2
158	в самой	2	2
159	для всех	5	2
160	относится к	4	2
161	ли это	3	2
162	и сейчас	4	2
163	он в	2	2
164	тех пор	2	2
165	состоит в	5	2
166	мы имеем	7	2
167	в процессе	7	2
168	мы можем	6	2
169	они в	2	2
170	есть как	3	2
171	с того	2	2
172	самых древних	2	2
173	и другой	6	2
174	по тому	4	2
175	вплоть до	3	2
176	между тем	6	2
177	не потому	3	2
178	только что	3	2
179	в свою	3	2
180	при таком	5	2
181	сознании и	2	2
182	не как	3	2
183	ни у	2	2
184	грань между	2	2
185	конечно не	2	2
186	отличается от	4	2
187	приводит к	3	2
188	тогда когда	7	2
189	но если	2	2
190	те же	9	2
191	что мы	9	2
192	в них	4	2
193	только не	4	2
194	и на	6	2
195	в русском	4	2
196	и здесь	3	2
197	уже в	3	2
198	еще не	2	2
199	все что	4	2
200	наконец в	2	2
201	то или	3	2
202	жизни и	5	2
203	что именно	4	2
204	не было	5	2
205	и больше	2	2
206	к которым	4	2
207	этом отношении	7	2
208	не в	19	2
209	у всех	2	2
210	не всегда	2	2
211	и наконец	2	2
212	то ни	2	2
213	ни было	2	2
214	на все	6	2
215	и все	8	2
216	же время	2	2
217	один из	6	2
218	в виду	6	2
219	заключает в	3	2
220	со всеми	5	2
221	сравнению с	3	2
222	русской интеллигенции	2	2
223	должна была	3	2
224	том виде	2	2
225	не к	2	2
226	людей и	2	2
227	без остатка	3	2
228	прежде всего	5	2
229	его не	3	2
230	бы то	3	2
231	и из	7	2
232	или иное	2	2
233	тот же	8	2
234	его от	2	2
235	с его	3	2
236	во всех	4	2
237	всех других	2	2
238	же самое	8	2
239	вслед за	10	2
240	взгляд на	2	2
241	тем и	2	2
242	по существу	6	2
