N	3gram	Propp_Isto	Komedia
1	в том что	7	29
2	до сих пор	4	16
3	о том что	9	13
4	в то время	4	11
5	по отношению к	3	9
6	то время как	4	9
7	с одной стороны	11	9
8	вместе с тем	6	9
9	с другой стороны	17	8
10	во всяком случае	3	7
11	так или иначе	2	7
12	после того как	4	6
13	и т д	25	5
14	о том как	3	5
15	в ответ на	3	5
16	тем не менее	4	5
17	что и в	3	4
18	в достаточной степени	2	4
19	т е в	2	4
20	можно было бы	3	4
21	так как он	4	4
22	независимо от того	2	4
23	но все же	3	4
24	что у него	5	4
25	более или менее	3	3
26	но и в	4	3
27	в тех случаях	7	2
28	мы имеем в	7	2
29	как мы видели	3	2
30	в зависимости от	3	2
31	в одной из	2	2
32	точно так же	2	2
33	тех случаях когда	6	2
34	так и в	3	2
35	том что в	2	2
36	не только в	9	2
37	в этом случае	4	2
38	на то чтобы	2	2
39	так же как	4	2
40	этой точки зрения	3	2
41	как и в	3	2
42	с этой точки	3	2
43	таким образом и	3	2
44	к себе в	2	2
