N	2gram	Kanaev_Sov	UchenyiS
1	и в	7	14
2	не только	4	10
3	а не	3	10
4	и не	6	8
5	прежде всего	5	8
6	не может	17	7
7	в этом	7	7
8	может быть	12	6
9	то же	3	5
10	все это	3	5
11	в этой	3	4
12	что такое	2	4
13	у нас	3	3
14	и т.д	3	3
15	это не	4	3
16	все же	3	3
17	как и	6	3
18	но в	3	3
19	было бы	3	3
20	в области	3	3
21	то ни	2	3
22	в самом	2	2
23	в себе	3	2
24	же самое	2	2
25	таким образом	11	2
26	самом деле	2	2
27	что она	3	2
28	ничего не	6	2
29	при таком	3	2
30	могут быть	2	2
31	не могут	2	2
32	в его	2	2
33	в том	4	2
34	что все	2	2
35	не в	3	2
36	мы получаем	3	2
37	в конце	3	2
38	в системе	3	2
39	в некоторых	2	2
40	мы не	9	2
