N	2gram	Losev_Prob	EvropaiE
1	и в	62	37
2	в отношении	4	32
3	в пределах	3	25
4	точки зрения	14	23
5	что в	11	21
6	не только	33	18
7	с точки	9	17
8	в то	18	16
9	хотя бы	6	15
10	то же	23	15
11	в своем	7	14
12	но в	17	14
13	но и	20	14
14	и не	56	14
15	в качестве	10	14
16	в этом	25	12
17	в том	35	11
18	в их	2	11
19	в области	2	11
20	так и	16	10
21	так же	11	9
22	в смысле	2	9
23	не может	14	9
24	отнюдь не	16	9
25	в себе	23	9
26	прежде всего	13	9
27	только в	33	9
28	одной стороны	2	8
29	в ее	6	8
30	было бы	14	8
31	в своей	8	8
32	с одной	3	8
33	к тому	4	8
34	по своему	6	7
35	нам кажется	2	7
36	также и	22	7
37	с другой	14	7
38	а также	6	7
39	как и	15	7
40	так как	14	7
41	между прочим	4	7
42	того что	10	7
43	том что	25	6
44	во всех	4	6
45	то есть	63	6
46	и даже	21	6
47	может быть	39	6
48	и на	4	6
49	стороны и	3	6
50	с этой	3	6
51	того чтобы	4	6
52	для того	5	6
53	на то	6	6
54	то что	42	6
55	как бы	11	6
56	вовсе не	62	6
57	но не	6	5
58	тем самым	9	5
59	и по	3	5
60	и потому	13	5
61	но если	12	5
62	этой точки	2	5
63	в той	8	5
64	как мы	12	5
65	не в	21	5
66	в виде	20	5
67	в частности	4	5
68	же как	5	5
69	даже в	2	4
70	сказать что	24	4
71	в каком	9	4
72	вопрос о	2	4
73	и притом	7	4
74	не имеет	12	4
75	или иного	5	4
76	или иной	20	4
77	само по	5	4
78	можно сказать	10	4
79	то в	4	4
80	независимо от	4	4
81	именно в	4	4
82	в процессе	2	4
83	в самом	4	4
84	но даже	7	4
85	мы не	15	4
86	в ней	12	4
87	для нас	23	4
88	по себе	36	4
89	несмотря на	4	4
90	в предыдущем	2	4
91	в некотором	2	4
92	тем более	8	4
93	к ней	2	4
94	ни было	5	4
95	той или	22	4
96	не на	2	4
97	как это	4	4
98	то ни	7	4
99	того или	8	4
100	бы то	5	4
101	чем в	2	4
102	никогда не	7	3
103	с тем	9	3
104	и от	11	3
105	и для	5	3
106	ни на	5	3
107	и только	10	3
108	нельзя ли	2	3
109	о том	14	3
110	в данном	14	3
111	вообще не	5	3
112	того же	2	3
113	в которых	3	3
114	ту или	3	3
115	когда он	2	3
116	можно было	7	3
117	этом смысле	5	3
118	бы и	7	3
119	и к	9	3
120	в результате	8	3
121	мы можем	11	3
122	это так	2	3
123	но на	2	3
124	уже и	2	3
125	не будет	3	3
126	из них	4	3
127	и прежде	3	3
128	в известном	3	3
129	во все	3	3
130	в них	6	3
131	можно ли	8	3
132	всяком случае	8	3
133	мы видели	2	3
134	что и	11	3
135	и тем	16	3
136	тем что	8	3
137	не является	19	3
138	или иную	3	3
139	потому что	40	3
140	себе не	2	3
141	она в	2	3
142	в таком	11	3
143	себе в	5	3
144	как в	10	3
145	как на	2	3
146	в известной	3	3
147	ее в	2	3
148	во всяком	14	3
149	дело в	6	3
150	есть в	6	2
151	исключительно в	2	2
152	на одну	2	2
153	бы о	2	2
154	именно потому	3	2
155	данном случае	12	2
156	и если	11	2
157	на этот	4	2
158	кажется что	2	2
159	в его	10	2
160	не есть	57	2
161	и этот	3	2
162	что это	3	2
163	при помощи	13	2
164	и то	17	2
165	другой и	3	2
166	что если	3	2
167	утверждать что	3	2
168	к нему	3	2
169	как же	3	2
170	она не	3	2
171	а в	9	2
172	с этим	5	2
173	из того	3	2
174	мы должны	13	2
175	или по	6	2
176	с другими	6	2
177	в котором	3	2
178	какой бы	2	2
179	даже при	2	2
180	заметить что	2	2
181	но как	6	2
182	как оно	3	2
183	в своих	2	2
184	от друга	3	2
185	и еще	2	2
186	и поэтому	3	2
187	только к	4	2
188	и с	11	2
189	бы в	3	2
190	этот вопрос	3	2
191	не нужно	2	2
192	что на	2	2
193	могут быть	2	2
194	не говоря	2	2
195	другой стороны	11	2
196	если брать	2	2
197	что все	2	2
198	в значительной	2	2
199	в одном	4	2
200	и можно	3	2
201	и как	4	2
202	в порядке	3	2
203	не можем	5	2
204	что же	9	2
205	есть не	13	2
206	поскольку она	2	2
207	если бы	9	2
208	которое в	3	2
209	в содержании	2	2
210	для них	4	2
211	которого мы	2	2
212	в этих	6	2
213	но также	2	2
214	жизни и	7	2
215	еще более	3	2
216	именно к	3	2
217	в других	2	2
218	а не	28	2
219	и тут	3	2
220	и что	9	2
221	нас к	2	2
222	и во	5	2
223	происходит в	3	2
224	и наконец	2	2
225	то не	2	2
226	имеет в	2	2
227	же в	6	2
228	но именно	4	2
229	и все	13	2
230	или в	7	2
231	друг от	3	2
232	по сравнению	3	2
233	таким образом	13	2
234	а именно	12	2
235	это значит	12	2
236	в истории	4	2
237	он не	10	2
238	как будто	11	2
239	на основании	2	2
240	во всей	3	2
241	сравнению с	3	2
242	поскольку они	3	2
243	не к	2	2
244	в этой	10	2
245	но с	2	2
246	между собой	3	2
247	хотя и	9	2
248	вместе с	3	2
249	заключается в	8	2
250	он сам	7	2
251	и более	6	2
252	при условии	4	2
