N	3gram	Savitsky_E	FransuaR
1	в то же	15	55
2	то же время	14	55
3	в том что	6	27
4	в большинстве случаев	2	22
5	в этом отношении	3	20
6	но в то	2	20
7	с точки зрения	16	20
8	для того чтобы	5	17
9	как мы видели	2	16
10	и прежде всего	3	14
11	не может быть	2	13
12	с одной стороны	8	13
13	с другой стороны	2	12
14	и в то	8	12
15	можно сказать что	3	11
16	той или иной	4	10
17	в той или	3	10
18	в данном случае	2	10
19	не только в	4	10
20	так и в	2	9
21	можно было бы	3	7
22	прежде всего в	2	7
23	в свою очередь	2	6
24	во всяком случае	3	5
25	в применении к	3	5
26	друг с другом	3	5
27	и в частности	2	5
28	одной стороны и	6	5
29	по сравнению с	2	5
30	по своему характеру	2	4
31	то что в	2	4
32	в одном из	2	4
33	так же как	5	4
34	во второй половине	2	4
35	сказать что в	2	4
36	бы то ни	4	3
37	в этом смысле	3	3
38	заключается в том	2	3
39	как бы ни	3	3
40	и в этом	4	3
41	друг от друга	2	3
42	хотя бы в	2	2
43	но не только	2	2
44	мы можем сказать	2	2
45	то ни было	4	2
46	из того что	2	2
47	же как и	3	2
48	и только в	2	2
49	в известном смысле	3	2
