N	3gram	Voloshinov	Problemy
1	с точки зрения	2	25
2	по отношению к	11	18
3	на самом деле	2	15
4	не может быть	7	14
5	до сих пор	3	10
6	в отношении к	2	10
7	с другой стороны	2	9
8	и не может	3	8
9	в том что	4	8
10	бы то ни	3	7
11	то ни было	3	6
12	в зависимости от	2	5
13	тем не менее	3	4
14	и не в	3	4
15	как если бы	4	4
16	может быть и	3	4
17	и то же	2	3
18	в данном случае	2	3
19	одно и то	2	3
20	в настоящее время	2	3
21	можно сказать что	5	3
22	в такой же	2	2
23	то же самое	2	2
24	этой точки зрения	3	2
25	но тем не	2	2
26	дело в том	4	2
27	мы можем сказать	2	2
28	и по отношению	3	2
