N	3gram	Losev_Dial	FransuaR
1	в то же	7	55
2	то же время	8	55
3	до сих пор	4	27
4	в том что	12	27
5	в этом отношении	2	20
6	с точки зрения	18	20
7	о том что	6	17
8	в связи с	3	16
9	на самом деле	3	13
10	не может быть	4	13
11	с одной стороны	3	13
12	с другой стороны	7	12
13	и в то	3	12
14	можно сказать что	6	11
15	той или иной	4	10
16	в конце концов	4	10
17	на самом же	2	10
18	в той или	3	10
19	не только в	2	10
20	самом же деле	2	10
21	более или менее	5	8
22	можно было бы	4	7
23	это конечно не	2	7
24	в самом деле	3	7
25	в то время	2	7
26	с самого начала	2	6
27	к тому же	2	6
28	но все же	2	6
29	во всяком случае	3	5
30	то же самое	3	5
31	но все это	2	5
32	это и есть	3	5
33	друг с другом	2	5
34	прежде всего необходимо	2	5
35	и в частности	4	5
36	одной стороны и	3	5
37	по сравнению с	2	5
38	только то что	6	5
39	потому что он	5	5
40	может быть и	6	4
41	и даже в	3	4
42	в нем и	2	4
43	мы находим в	2	4
44	вовсе не в	3	4
45	связи с этим	2	4
46	не нуждается в	6	4
47	это вовсе не	2	4
48	в нем есть	6	3
49	но это не	2	3
50	содержит в себе	5	3
51	в этом смысле	4	3
52	как один из	2	3
53	есть не что	3	3
54	что иное как	4	3
55	как бы ни	2	3
56	что в нем	4	3
57	они вовсе не	2	3
58	ровно ничего не	3	3
59	и ни на	2	3
60	не что иное	4	3
61	в разной степени	2	3
62	имеется в виду	3	3
63	и даже больше	2	3
64	и в этом	4	3
65	сам по себе	8	2
66	но мы уже	2	2
67	ничего общего с	3	2
68	только тогда когда	4	2
69	можем сказать что	3	2
70	потому что она	3	2
71	в нем нет	3	2
72	потому что они	2	2
73	не потому что	5	2
74	и не только	4	2
75	так как он	2	2
76	мы можем сказать	3	2
77	мы уже знаем	4	2
78	друг к другу	2	2
79	может быть в	2	2
80	никогда не может	2	2
81	и та же	5	2
82	одна и та	5	2
83	на что не	3	2
84	может быть только	2	2
85	в тех или	2	2
86	и может быть	3	2
87	и в нем	3	2
88	и с другой	2	2
89	ни на что	3	2
90	уже знаем что	2	2
