N	2gram	Losev_Dial	VerxiiNi
1	и в	34	26
2	таким образом	14	22
3	с тем	4	18
4	в этом	14	15
5	вместе с	3	15
6	точки зрения	43	13
7	как бы	19	12
8	в том	17	11
9	не только	35	10
10	из этих	5	10
11	и с	10	10
12	может быть	30	10
13	что в	12	9
14	так как	12	9
15	связи с	3	9
16	но и	14	9
17	но не	3	8
18	с другой	5	8
19	и у	3	8
20	и не	50	8
21	как на	6	8
22	к нему	4	7
23	потому что	21	7
24	одной стороны	3	7
25	из них	4	7
26	то что	25	7
27	с одной	4	7
28	но в	3	7
29	том что	18	7
30	представление о	3	6
31	все же	4	6
32	к тому	4	6
33	о том	11	6
34	в себе	8	6
35	в конце	2	6
36	несмотря на	2	6
37	всяком случае	3	6
38	что и	8	6
39	с точки	25	6
40	все эти	4	6
41	все это	13	6
42	и потому	6	6
43	так и	11	6
44	во всяком	5	6
45	никогда не	9	5
46	в мире	2	5
47	одной из	3	5
48	и для	5	5
49	не имеет	18	5
50	так же	7	5
51	и к	5	5
52	в силу	5	5
53	в его	6	5
54	крайней мере	10	5
55	для того	4	5
56	а не	39	5
57	тому же	2	5
58	по крайней	10	5
59	и от	4	4
60	что все	16	4
61	очень мало	2	4
62	а в	3	4
63	в котором	2	4
64	в самом	9	4
65	в нем	7	4
66	не может	29	4
67	в смысле	4	4
68	и тогда	6	4
69	что оно	9	4
70	из которых	4	4
71	целый ряд	3	4
72	в виде	11	4
73	то же	9	4
74	и что	21	4
75	и по	2	4
76	в этих	3	4
77	только в	10	4
78	что он	18	4
79	и только	6	4
80	он не	8	4
81	ничем не	7	4
82	в течение	4	4
83	в этой	3	4
84	в то	9	4
85	учение о	11	4
86	что это	20	3
87	в своем	7	3
88	так или	2	3
89	оказывается что	5	3
90	не вполне	2	3
91	точно так	3	3
92	или иначе	2	3
93	и если	5	3
94	уже не	9	3
95	хотя бы	9	3
96	и нет	9	3
97	к этому	3	3
98	в результате	7	3
99	тем не	10	3
100	и даже	21	3
101	и как	13	3
102	если бы	10	3
103	же как	4	3
104	при этом	7	3
105	всегда и	4	3
106	не менее	11	3
107	как о	6	3
108	когда он	3	3
109	и при	4	3
110	с этой	7	3
111	в связи	3	3
112	в таком	15	3
113	так что	11	3
114	случае не	4	3
115	ясно что	16	3
116	и о	9	3
117	можно сказать	5	3
118	в одном	3	3
119	того что	22	3
120	для него	4	3
121	культуры и	2	3
122	по своему	2	2
123	одно из	8	2
124	сказать что	7	2
125	для этого	3	2
126	этой точки	4	2
127	о котором	4	2
128	и является	2	2
129	из этого	3	2
130	с тех	2	2
131	и это	12	2
132	или иной	4	2
133	не могут	6	2
134	на то	5	2
135	надо было	4	2
136	утверждать что	6	2
137	или по	4	2
138	тех пор	3	2
139	можно только	5	2
140	мы имеем	3	2
141	ни один	2	2
142	в процессе	2	2
143	мы можем	3	2
144	вплоть до	2	2
145	больше чем	2	2
146	не потому	2	2
147	только что	7	2
148	основано на	2	2
149	при таком	2	2
150	из себя	3	2
151	грань между	2	2
152	именно в	5	2
153	конечно не	6	2
154	живых существ	2	2
155	отличается от	9	2
156	если не	3	2
157	тогда когда	9	2
158	но если	11	2
159	что мы	10	2
160	в них	6	2
161	только не	10	2
162	очень много	3	2
163	и на	6	2
164	и здесь	3	2
165	он один	2	2
166	еще не	7	2
167	все что	3	2
168	так чтобы	4	2
169	то или	4	2
170	жизни и	8	2
171	иной раз	3	2
172	что именно	10	2
173	не было	6	2
174	и больше	5	2
175	превращается в	6	2
176	когда же	2	2
177	можно назвать	3	2
178	этом отношении	2	2
179	не в	11	2
180	не всегда	3	2
181	религия без	2	2
182	и наконец	2	2
183	то ни	4	2
184	ничего общего	2	2
185	той или	3	2
186	перестает быть	2	2
187	и все	17	2
188	но когда	2	2
189	же время	5	2
190	в виду	12	2
191	со всеми	2	2
192	психической жизни	2	2
193	может ли	4	2
194	людей и	2	2
195	из соединения	2	2
196	прежде всего	20	2
197	его не	3	2
198	бы то	3	2
199	и из	2	2
200	или иное	4	2
201	его от	2	2
202	с его	7	2
203	во всех	2	2
204	в разных	2	2
205	от бога	2	2
206	и сами	2	2
207	то ясно	3	2
208	быть и	7	2
209	по существу	2	2
