N	2gram	Vygotskiy_	SlovoVZh
1	не может	16	16
2	точки зрения	49	14
3	может быть	19	14
4	и его	10	13
5	как бы	16	13
6	и в	37	12
7	таким образом	39	12
8	в нашем	3	11
9	отношению к	11	11
10	по отношению	12	11
11	и не	15	10
12	так как	11	9
13	если бы	10	9
14	прежде всего	12	8
15	для нас	4	7
16	сказать что	16	7
17	слова и	5	6
18	все время	8	6
19	при этом	6	6
20	в том	47	6
21	в нем	2	6
22	только в	8	6
23	в процессе	19	6
24	с помощью	16	6
25	в ней	2	6
26	никогда не	8	5
27	как в	7	5
28	что мы	9	5
29	в жизни	2	5
30	в виду	5	5
31	можно сказать	6	5
32	но в	9	5
33	том что	42	5
34	то же	12	5
35	как и	20	5
36	и следовательно	3	5
37	хотя бы	7	5
38	а не	5	5
39	то что	32	5
40	и др	5	5
41	отнюдь не	2	5
42	в самом	16	4
43	в этом	32	4
44	не только	29	4
45	на самом	4	4
46	что не	2	4
47	как если	3	4
48	и является	2	4
49	зависимости от	8	4
50	жизни и	2	4
51	не в	9	4
52	с другой	16	4
53	все же	6	4
54	дело в	3	4
55	за пределы	4	4
56	и к	9	4
57	так и	12	4
58	и на	8	4
59	уже не	2	4
60	от того	7	4
61	в них	5	3
62	по себе	9	3
63	в каком	3	3
64	и вообще	2	3
65	о том	14	3
66	и для	3	3
67	внутренней речи	14	3
68	не к	3	3
69	он должен	4	3
70	из этого	6	3
71	ни в	6	3
72	все эти	6	3
73	в котором	6	3
74	и наконец	3	3
75	так же	18	3
76	в своей	7	3
77	мы не	13	3
78	точка зрения	3	3
79	в себе	8	3
80	нуждается в	2	3
81	это как	2	3
82	все это	9	3
83	когда он	5	3
84	и ее	9	3
85	между тем	10	3
86	и с	10	3
87	этой точки	2	3
88	бы мы	3	3
89	но для	2	3
90	сих пор	4	3
91	с ним	3	3
92	до сих	4	3
93	и по	3	3
94	в такой	4	3
95	самом деле	8	3
96	и пр	2	3
97	того что	28	3
98	и более	6	3
99	но и	23	3
100	для него	5	3
101	ясно что	2	3
102	едва ли	5	2
103	одно и	2	2
104	и то	3	2
105	в его	16	2
106	которые мы	2	2
107	данном случае	5	2
108	к его	3	2
109	что в	25	2
110	к ним	2	2
111	а к	2	2
112	стороны и	3	2
113	в отношении	14	2
114	но тем	3	2
115	как уже	9	2
116	социальной среды	6	2
117	слова так	2	2
118	ничего не	6	2
119	речи в	17	2
120	словом и	3	2
121	с его	7	2
122	и те	2	2
123	что и	3	2
124	это не	5	2
125	более того	2	2
126	и все	7	2
127	социальной средой	2	2
128	там где	8	2
129	с точки	34	2
130	от всех	3	2
131	она не	3	2
132	но все	3	2
133	к слову	6	2
134	в своем	10	2
135	на все	5	2
136	опираясь на	3	2
137	в зависимости	8	2
138	в данном	5	2
139	его к	3	2
140	но мы	4	2
141	с другими	5	2
142	независимо от	10	2
143	действия и	4	2
144	ко всем	3	2
145	зависит от	2	2
146	не остается	3	2
147	мы имеем	2	2
148	и что	11	2
149	на примере	3	2
150	в то	7	2
151	те же	2	2
152	уже в	8	2
153	с этой	7	2
154	в этих	3	2
155	одной стороны	15	2
156	связь с	2	2
157	он не	11	2
158	в какой	5	2
159	такой же	3	2
160	как только	3	2
161	точку зрения	8	2
162	как на	5	2
163	и потому	3	2
164	общения и	3	2
165	этого положения	3	2
166	но не	6	2
167	как это	6	2
168	в себя	2	2
169	мы можем	11	2
170	могут быть	5	2
171	не способен	2	2
172	в чем	5	2
173	между собой	5	2
174	значения и	2	2
175	является для	6	2
176	с одной	14	2
177	к этому	7	2
178	нашего сознания	3	2
179	же самое	4	2
180	между ними	2	2
181	этих двух	4	2
182	и значение	2	2
183	почти исключительно	2	2
184	тогда когда	8	2
185	и слово	2	2
186	бы даже	2	2
187	но что	3	2
188	но этот	3	2
189	другой стороны	10	2
190	вместе с	14	2
191	предметом исследования	3	2
192	на него	3	2
