N	3gram	Vinokur_St	RusskieA
1	в том что	29	49
2	и т д	25	21
3	тем не менее	4	14
4	в этом случае	3	12
5	вместе с тем	2	11
6	о том что	19	10
7	том что в	4	9
8	в данном случае	7	8
9	для того чтобы	13	8
10	в настоящее время	2	7
11	т е в	3	7
12	в это время	3	6
13	по этому поводу	4	6
14	не может быть	5	6
15	после того как	5	6
16	в советское время	2	6
17	так же как	5	6
18	во многих случаях	2	6
19	к тому что	4	5
20	а иногда и	2	4
21	во всяком случае	8	4
22	в то время	2	4
23	можно было бы	8	4
24	более или менее	2	3
25	по отношению к	3	3
26	может быть и	2	3
27	с точки зрения	10	3
28	и в том	3	3
29	до сих пор	12	3
30	у нас нет	7	3
31	обращает на себя	2	3
32	на то что	5	3
33	на самом деле	7	2
34	всяком случае не	2	2
35	так как в	2	2
36	до того как	3	2
37	в этом отношении	13	2
38	т д и	2	2
39	иметь в виду	2	2
40	как и в	2	2
41	в области изучения	2	2
42	это не значит	3	2
43	не только в	4	2
44	не значит что	3	2
45	ничего общего с	3	2
46	вопрос о том	4	2
47	и в этом	4	2
48	с одной стороны	2	2
49	дело не в	2	2
50	и т п	11	2
51	с другой стороны	8	2
52	но все же	3	2
53	в таком виде	2	2
