N	2gram	Tiupa_Disk	FransuaR
1	и в	27	367
2	то есть	29	209
3	в этом	29	112
4	и т.п	18	108
5	и не	25	101
6	таким образом	4	100
7	и его	4	99
8	в его	9	98
9	прежде всего	17	92
10	не только	36	87
11	но и	22	84
12	как бы	9	82
13	все эти	2	79
14	как и	27	76
15	в нем	16	75
16	но в	15	75
17	в эпоху	5	75
18	и др	3	72
19	и на	8	72
20	в том	29	71
21	как мы	2	71
22	то же	12	66
23	и все	5	66
24	так и	14	65
25	в этой	5	65
26	в них	6	65
27	в сущности	3	64
28	и с	2	64
29	в то	8	63
30	все это	2	62
31	во всех	6	62
32	же время	9	55
33	что в	8	52
34	в своем	11	51
35	только в	9	48
36	и до	2	46
37	том что	27	45
38	в году	3	44
39	здесь в	4	41
40	то что	10	41
41	жизни и	2	40
42	в самом	4	38
43	точки зрения	6	37
44	в ней	2	37
45	с его	9	36
46	может быть	29	35
47	о том	12	35
48	до нас	2	34
49	сказать что	4	34
50	и даже	4	34
51	в себе	22	34
52	он не	4	32
53	для него	9	32
54	в своей	10	31
55	нового времени	2	31
56	до конца	2	31
57	в литературе	2	31
58	никогда не	3	30
59	и потому	3	30
60	той же	2	30
61	один из	3	30
62	потому что	7	30
63	в этих	4	29
64	не может	17	29
65	еще не	20	29
66	не в	8	29
67	при этом	22	29
68	в одном	5	29
69	в особенности	5	29
70	связи с	4	29
71	что он	6	29
72	из них	6	28
73	в основе	11	28
74	в той	2	28
75	также и	6	28
76	и к	4	28
77	роль в	10	27
78	по своему	3	27
79	том числе	3	27
80	все же	8	27
81	в области	3	25
82	но это	3	25
83	мира и	3	25
84	отношение к	6	24
85	в ее	4	24
86	и от	2	24
87	в частности	18	24
88	например в	4	24
89	но не	17	24
90	в большинстве	3	24
91	как в	16	24
92	времени и	5	24
93	своего рода	15	23
94	так сказать	3	23
95	это не	5	23
96	в их	5	23
97	большинстве случаев	2	23
98	и о	4	22
99	и во	2	22
100	а в	5	22
101	что и	5	22
102	тем что	4	22
103	вместе с	3	22
104	не было	9	22
105	именно в	5	21
106	в своих	6	21
107	в себя	7	21
108	в качестве	45	21
109	и наконец	2	21
110	ни в	7	21
111	одним из	2	21
112	есть в	3	21
113	и как	9	21
114	уже в	2	21
115	а также	15	20
116	одной из	4	20
117	этом отношении	4	20
118	в виду	2	20
119	они были	2	20
120	в значительной	3	20
121	с точки	3	20
122	самом деле	2	20
123	и это	3	20
124	в форме	2	19
125	того же	5	19
126	их в	2	19
127	во всем	2	19
128	хотя и	3	19
129	к этому	4	19
130	за пределы	2	19
131	далеко не	10	19
132	с другой	14	19
133	с ее	3	19
134	на протяжении	2	19
135	это в	4	18
136	на этом	3	18
137	но они	3	18
138	это и	2	18
139	перед нами	4	18
140	существенную роль	4	18
141	своего времени	2	17
142	числе и	3	17
143	но все	2	17
144	того что	4	17
145	в результате	3	17
146	на его	4	17
147	большей или	2	17
148	а не	35	17
149	между тем	5	16
150	или меньшей	2	16
