N	2gram	Propp_Isto	KulturaY
1	и т	33	143
2	т е	36	102
3	и в	43	84
4	в том	13	74
5	потому что	8	68
6	не только	28	60
7	точки зрения	3	59
8	в этом	25	57
9	было бы	5	53
10	и не	16	52
11	может быть	22	47
12	том что	12	44
13	что в	29	44
14	т д	30	42
15	у нас	7	38
16	хотя бы	3	37
17	так как	13	36
18	таким образом	15	33
19	а не	13	33
20	можно было	3	32
21	если бы	7	32
22	не в	9	30
23	прежде всего	3	30
24	в его	7	30
25	и пр	19	30
26	все же	13	29
27	того что	8	28
28	не менее	6	28
29	все эти	8	28
30	в силу	2	26
31	уже не	11	26
32	не может	8	25
33	то что	20	25
34	вовсе не	3	25
35	вопрос о	4	24
36	еще не	15	24
37	с другой	10	24
38	так и	6	23
39	то же	11	23
40	только в	8	23
41	тем не	6	21
42	во всяком	2	20
43	но и	24	20
44	по себе	3	20
45	и что	6	20
46	что он	17	19
47	но в	15	19
48	тем что	8	19
49	о том	4	19
50	всяком случае	2	19
51	что же	2	19
52	между тем	2	18
53	связи с	9	18
54	все это	4	18
55	в качестве	4	18
56	к тому	9	18
57	с тем	3	18
58	как бы	5	18
59	и с	10	18
60	вместе с	12	18
61	это не	10	17
62	как это	5	17
63	что это	4	17
64	другой стороны	10	17
65	в виду	2	16
66	ничего не	12	16
67	в русском	3	16
68	что не	3	16
69	что и	17	16
70	тот же	2	16
71	но не	10	16
72	по отношению	2	15
73	и тем	2	15
74	один из	7	15
75	а в	13	15
76	при этом	4	15
77	того как	3	15
78	в данном	7	15
79	целый ряд	3	15
80	не было	2	15
81	в них	6	14
82	в связи	5	14
83	хотя и	4	14
84	я не	3	14
85	как мы	11	14
86	сказать что	5	14
87	мы имеем	24	14
88	отношению к	2	14
89	сих пор	7	14
90	и на	7	14
91	в ней	3	14
92	до сих	7	14
93	это и	4	13
94	по существу	3	13
95	между прочим	4	13
96	что она	8	13
97	в пределах	5	13
98	не случайно	2	13
99	в этой	7	13
100	в которых	7	13
101	для нас	6	13
102	там где	8	13
103	и его	10	13
104	той же	3	13
105	этот вопрос	3	12
106	с этой	3	12
107	как в	6	12
108	могут быть	9	12
109	этого слова	3	12
110	однако не	2	12
111	ясно что	2	12
112	в таких	3	11
113	в своем	2	11
114	те же	2	11
115	из этих	5	11
116	должна быть	2	11
117	в нем	11	11
118	совершенно не	2	11
119	и здесь	8	11
120	и то	4	11
121	и если	3	11
122	он не	11	11
123	так же	16	10
124	в то	2	10
125	к этому	10	10
126	со стороны	3	10
127	они не	4	10
128	как и	9	10
129	ту же	2	10
130	тех же	2	10
131	с этим	13	10
132	в особенности	3	10
133	от того	3	10
134	после того	5	10
135	конечно не	3	10
136	не просто	4	10
137	то мы	3	9
138	в целом	4	9
139	здесь не	6	9
140	и для	3	9
141	в своей	4	9
142	можно сказать	3	9
143	дает нам	3	9
144	а также	5	9
145	но это	5	9
146	и вот	3	9
147	не имеет	3	9
148	на то	4	9
149	ни в	2	9
150	но для	2	9
151	что мы	5	9
152	и есть	3	9
153	на самом	2	8
154	в частности	6	8
155	только тогда	2	8
156	мы видели	18	8
157	состоит в	4	8
158	что на	6	8
159	в чем	4	8
160	с одной	2	8
161	и о	2	8
162	в тех	3	8
163	что они	14	8
164	этом случае	8	8
165	да и	2	8
166	то и	7	8
167	независимо от	3	8
168	и как	6	8
169	об этом	8	8
170	в этих	18	8
171	но все	5	8
172	далеко не	3	8
173	что я	2	8
174	не есть	3	8
175	тому же	4	8
176	же в	6	8
177	в свою	5	7
178	казалось бы	2	7
179	и потому	2	7
180	не знает	2	7
181	смысле этого	3	7
182	она не	4	7
183	на том	3	7
184	одной стороны	2	7
185	с ними	5	7
186	стоит в	2	7
187	например в	3	7
188	указать на	4	7
189	не все	7	7
190	все равно	3	7
191	а именно	8	7
192	не следует	2	7
193	здесь можно	10	7
194	и более	3	7
195	в котором	5	7
196	когда он	2	7
197	в одном	9	7
198	даже в	4	6
199	перед нами	4	6
200	данном случае	6	6
201	его к	5	6
202	в себе	2	6
203	как к	2	6
204	роль в	2	6
205	на этом	5	6
206	е в	2	6
207	это только	2	6
208	не всегда	7	6
209	мы знаем	11	6
210	можно ли	3	6
211	на этой	2	6
212	а если	3	6
213	на себя	5	6
214	однако что	4	6
215	не на	2	6
216	указывает что	3	6
217	как будто	2	6
218	то это	5	6
219	дело не	3	6
220	мы не	3	6
221	случаи когда	7	6
222	в числе	2	6
223	что как	2	6
224	или в	14	6
225	не с	2	6
226	только что	3	6
227	если не	2	6
228	главным образом	3	6
229	никогда не	9	5
230	и к	4	5
231	мы должны	9	5
232	относится к	3	5
233	все те	2	5
234	а на	5	5
235	не будем	6	5
236	нам право	2	5
237	к себе	3	5
238	в другом	11	5
239	но если	2	5
240	и у	6	5
241	и при	2	5
242	в современной	2	5
243	так что	8	5
244	о нем	2	5
245	на которых	2	5
246	так в	8	5
247	также что	2	5
248	но как	2	5
249	не то	2	5
250	то не	2	5
251	нельзя было	2	5
252	и от	3	5
253	из того	2	5
254	и он	2	5
255	уже выше	4	5
256	всех этих	3	5
257	и даже	4	5
258	могло бы	2	5
259	как не	2	5
260	превращается в	10	5
261	у него	4	5
262	отношение к	4	5
263	очень много	3	5
264	еще более	3	5
265	есть не	2	5
266	и их	4	5
267	только не	2	5
268	и только	6	5
269	связь между	2	5
270	его в	7	4
271	не имеют	2	4
272	именно так	3	4
273	или же	2	4
274	к которому	6	4
275	уже на	3	4
276	случае мы	4	4
277	не говорит	2	4
278	в виде	2	4
279	связано с	4	4
280	то она	2	4
281	же мы	2	4
282	увидим что	2	4
283	одно из	2	4
284	так например	3	4
285	не говорят	2	4
286	на месте	2	4
287	к нашей	2	4
288	и все	4	4
289	к нему	12	4
290	к этой	2	4
291	это уже	3	4
292	и было	2	4
293	себе и	2	4
294	с большим	5	4
295	совершенно ясно	2	4
296	одного из	2	4
297	что так	2	4
298	точно так	8	4
299	же как	8	4
300	вот почему	3	4
301	почти всегда	2	4
302	на все	2	4
303	здесь мы	6	4
304	представление о	3	4
305	за время	2	4
306	интересно что	3	4
307	по сравнению	2	4
308	утверждать что	2	4
309	ли это	2	4
310	сюда же	2	4
311	это в	2	4
312	на это	4	4
313	и по	6	4
314	мы можем	10	4
315	мы увидим	6	4
316	такой же	3	4
317	а то	2	4
318	и это	5	4
319	как таковой	3	4
320	из них	7	4
321	что за	3	4
322	только после	2	4
323	как только	2	4
324	именно на	2	4
325	если же	2	4
326	но он	8	4
327	и становится	2	4
328	не дает	3	4
329	не мог	2	4
330	он все	5	3
331	указать что	6	3
332	что дело	2	3
333	случае в	2	3
334	эти случаи	5	3
335	во многих	2	3
336	не раз	2	3
337	иное как	6	3
338	что здесь	8	3
339	наряду с	4	3
340	не хочет	3	3
341	и эти	5	3
342	а как	2	3
343	и другие	6	3
344	себе в	2	3
345	образом в	2	3
346	все время	2	3
347	его и	6	3
348	от них	5	3
349	в него	3	3
350	в свете	6	3
351	случаях когда	2	3
352	на него	4	3
353	она была	2	3
354	предположить что	11	3
355	в сторону	3	3
356	с того	5	3
357	тех случаях	2	3
358	меня и	3	3
359	большинстве случаев	3	3
360	но здесь	2	3
361	на них	2	3
362	на его	5	3
363	в начале	2	3
364	о его	2	3
365	под влиянием	2	3
366	на котором	2	3
367	поставить вопрос	2	3
368	во время	8	3
369	в дальнейшем	8	3
370	даже не	2	3
371	в одну	3	3
372	под этим	2	3
373	показывает что	13	3
374	это еще	2	3
375	но она	2	3
376	тогда как	6	3
377	говорит что	4	3
378	не знаю	9	3
379	таких случаях	2	3
380	то время	2	3
381	также в	2	3
382	по мере	2	3
383	в других	6	3
384	в особую	2	3
385	одним из	4	3
386	как у	2	3
387	что его	2	3
388	она может	2	3
389	только с	2	3
390	что у	4	3
391	если это	4	3
392	е к	2	3
393	на нем	4	3
394	он в	3	3
395	знаем что	9	3
396	все что	4	3
397	в наших	2	3
398	в большинстве	2	3
399	заметить что	2	3
400	со своей	2	3
401	и действительно	5	3
402	к жизни	2	3
403	и уже	2	3
404	в некоторых	9	3
405	таким же	5	3
406	на ту	2	3
407	при котором	2	3
408	за это	2	2
409	можно видеть	2	2
410	стоит на	3	2
411	во все	4	2
412	возможно что	7	2
413	он уже	2	2
414	от него	3	2
415	и новые	2	2
416	в одной	4	2
417	для нее	2	2
418	хотелось бы	2	2
419	с целью	2	2
420	как следует	2	2
421	или нет	2	2
422	в состоянии	2	2
423	эти два	3	2
424	доходит до	2	2
425	связанных с	4	2
426	бы составить	2	2
