N	3gram	Medvedev_F	Myslijsy
1	в том что	3	47
2	по отношению к	4	26
3	не может быть	11	19
4	тем не менее	2	18
5	и т д	11	15
6	сам по себе	2	14
7	в свою очередь	6	14
8	то же время	13	13
9	в то же	13	13
10	не в том	3	13
11	в том смысле	3	13
12	во всяком случае	6	12
13	с другой стороны	4	12
14	более или менее	7	12
15	до сих пор	7	12
16	смысле этого слова	4	12
17	и в этом	6	12
18	и т п	11	11
19	сами по себе	4	11
20	для того чтобы	3	11
21	с одной стороны	5	10
22	мы не можем	3	9
23	но и в	4	9
24	не могут быть	4	9
25	что и в	2	9
26	на самом деле	7	8
27	с тем что	3	8
28	так и в	6	8
29	вместе с тем	5	8
30	как бы ни	3	8
31	не только не	2	7
32	с точки зрения	17	7
33	сама по себе	2	7
34	в этом смысле	3	7
35	с самого начала	2	6
36	друг от друга	2	6
37	в том случае	2	5
38	по себе а	2	5
39	к тому что	3	5
40	с тем и	2	5
41	языка и его	5	5
42	все более и	3	4
43	в данном случае	2	4
44	том смысле что	2	4
45	из виду что	2	4
46	именно в том	2	4
47	в противном случае	2	4
48	в этом отношении	7	4
49	более и более	3	4
50	в том чтобы	3	4
51	бы то ни	4	3
52	ничего общего с	2	3
53	в применении к	4	3
54	именно того что	2	3
55	одной стороны и	4	3
56	и тем самым	2	3
57	в большинстве случаев	5	3
58	в связи с	9	3
59	до известной степени	3	3
60	и до сих	2	2
61	же время и	2	2
62	как мы видели	5	2
63	и не в	2	2
64	при этом не	2	2
65	и в каждом	2	2
66	при известных условиях	2	2
67	мы говорим о	2	2
68	к тому чтобы	2	2
69	и не может	5	2
70	но все же	2	2
71	что в нем	2	2
