N	3gram	Vygotskiy_	Hudozhes
1	по отношению к	9	10
2	в том что	24	8
3	в то же	2	7
4	в отличие от	4	7
5	с другой стороны	3	6
6	в конечном счете	2	5
7	состоит в том	3	5
8	для того чтобы	24	5
9	той или иной	2	5
10	не может быть	6	4
11	одно и то	3	3
12	и то же	3	3
13	с точки зрения	31	3
14	с одной стороны	7	3
15	в том числе	2	3
16	тем не менее	4	3
17	подобно тому как	2	3
18	в этом смысле	2	3
19	можно сказать что	7	3
20	и того же	3	3
21	одного и того	3	3
22	до известной степени	2	2
23	в известном смысле	2	2
24	в том и	3	2
25	том числе и	2	2
26	этой точки зрения	4	2
27	в самом деле	4	2
28	том что он	2	2
29	мы имеем дело	2	2
30	к тому что	10	2
31	с этой точки	4	2
32	включает в себя	2	2
33	по своей природе	4	2
34	приводит к тому	3	2
35	в свою очередь	3	2
