N	2gram	Losev_Dial	Tvorches
1	и в	35	56
2	как бы	19	41
3	в его	4	37
4	в то	10	30
5	то же	21	25
6	не только	26	24
7	но в	8	24
8	же время	9	24
9	и его	6	23
10	и не	51	23
11	а в	8	23
12	как и	10	23
13	и т	31	22
14	в этом	18	22
15	в том	20	21
16	что в	19	21
17	том что	18	19
18	он не	5	19
19	может быть	30	19
20	потому что	23	19
21	у него	2	18
22	то что	25	18
23	что он	16	17
24	все это	14	17
25	т д	28	17
26	таким образом	5	17
27	никогда не	18	16
28	прежде всего	14	16
29	как в	3	16
30	при этом	2	16
31	не может	16	16
32	но и	17	16
33	в этой	3	15
34	но это	12	15
35	в мире	3	15
36	и с	10	15
37	это не	18	14
38	и даже	23	14
39	времени в	2	13
40	о том	8	13
41	а не	24	13
42	в котором	5	12
43	все же	9	11
44	в своей	9	11
45	для него	2	11
46	отнюдь не	13	11
47	в конце	5	10
48	не в	12	10
49	так и	18	10
50	уже в	5	10
51	но не	9	10
52	в самом	6	10
53	когда он	2	10
54	он сам	6	10
55	только в	7	10
56	как будто	7	10
57	в нем	25	9
58	один из	3	9
59	и от	5	9
60	в изображении	2	9
61	в душе	8	9
62	даже в	6	8
63	так же	6	8
64	в себе	23	8
65	человека и	2	8
66	в их	5	8
67	не менее	5	8
68	это уже	2	8
69	так как	24	8
70	вовсе не	19	8
71	к этому	2	8
72	об этом	7	8
73	еще не	4	8
74	именно в	4	8
75	хотя и	4	8
76	вместе с	3	8
77	самом деле	6	7
78	в чем	9	7
79	например в	2	7
80	в дальнейшем	6	7
81	и он	6	7
82	что она	18	7
83	в которой	3	7
84	в этих	6	7
85	уже не	3	7
86	его в	3	6
87	так что	21	6
88	и все	11	6
89	все эти	4	6
90	хотя бы	6	6
91	и как	14	6
92	если бы	12	6
93	еще более	3	6
94	с ним	9	6
95	а потому	3	6
96	ничего не	19	5
97	в одной	4	5
98	но если	6	5
99	и у	2	5
100	однако это	2	5
101	но эта	4	5
102	как он	5	5
103	в виде	2	5
104	это все	2	5
105	это как	3	5
106	т п	3	5
107	в своем	7	5
108	а с	2	5
109	в них	4	5
110	и это	6	5
111	что этот	3	5
112	у пушкина	6	5
113	быть может	5	5
114	значит что	25	5
115	что не	13	5
116	что и	7	5
117	в ее	3	5
118	и по	5	5
119	что они	8	5
120	показывает что	2	5
121	что это	21	5
122	все время	4	5
123	с этим	5	5
124	дело не	3	5
125	что человек	2	5
126	мысли и	3	5
127	на него	2	5
128	на деле	2	5
129	та же	6	5
130	между тем	3	5
131	как у	3	5
132	что у	3	5
133	с другой	10	5
134	что я	5	5
135	из них	5	5
136	я не	9	5
137	не было	7	5
138	в таком	4	5
139	но с	4	5
140	перед нами	3	4
141	и потому	6	4
142	крайней мере	11	4
143	не был	3	4
144	это и	6	4
145	только на	3	4
146	в частности	4	4
147	как это	8	4
148	не знает	2	4
149	стремится к	2	4
150	самого начала	2	4
151	того что	6	4
152	что все	2	4
153	к нему	12	4
154	но только	6	4
155	точки зрения	25	4
156	из жизни	2	4
157	что на	2	4
158	могут быть	6	4
159	сих пор	4	4
160	же не	4	4
161	же как	3	4
162	с ними	4	4
163	мы видим	6	4
164	и я	3	4
165	в основе	4	4
166	как известно	3	4
167	говорит о	6	4
168	и когда	5	4
169	и мы	8	4
170	тут же	2	4
171	в каждом	4	4
172	себя в	2	4
173	говорит что	3	4
174	на свете	5	4
175	это значит	18	4
176	превращается в	2	4
