N	2gram	Losev_Prob	DiskursI
1	в качестве	10	72
2	а не	28	60
3	может быть	39	56
4	не только	33	49
5	и в	62	49
6	как и	15	47
7	при этом	9	46
8	в том	35	44
9	и не	56	44
10	то есть	63	41
11	том что	25	40
12	в этом	25	38
13	в себе	23	37
14	в частности	4	36
15	но и	20	35
16	но не	6	31
17	так и	16	28
18	отличие от	3	28
19	но в	17	28
20	не может	14	27
21	в отличие	2	27
22	как в	10	25
23	такого рода	14	24
24	еще не	12	23
25	отнюдь не	16	23
26	а также	6	20
27	все же	10	19
28	прежде всего	13	19
29	в нем	13	19
30	в своей	8	19
31	в основе	3	18
32	в данном	14	17
33	то же	23	17
34	с другой	14	17
35	точки зрения	14	16
36	только в	33	16
37	в его	10	15
38	то что	42	15
39	о том	14	15
40	это не	10	14
41	или иной	20	14
42	не в	21	14
43	не менее	24	14
44	одной стороны	2	14
45	можно сказать	10	14
46	не является	19	14
47	ни к	3	14
48	с одной	3	14
49	в целом	9	13
50	для него	4	13
51	как бы	11	13
52	данном случае	12	12
53	в своем	7	12
54	и все	13	12
55	того же	2	12
56	в своих	2	12
57	и на	4	12
58	что в	11	11
59	и как	4	11
60	не было	6	11
61	для себя	6	10
62	а в	9	10
63	а с	2	10
64	не столько	2	10
65	той или	22	10
66	также и	22	10
67	тем самым	9	9
68	в то	18	9
69	героя в	2	9
70	в них	6	9
71	уже не	12	9
72	себя в	4	9
73	внимание на	2	9
74	пока еще	3	9
75	и о	8	8
76	к тому	4	8
77	потому что	40	8
78	не на	2	8
79	хотя и	9	8
80	и даже	21	8
81	в басне	12	8
82	в этих	6	8
83	в котором	3	8
84	в одном	4	8
85	из них	4	8
86	он не	10	8
87	перед нами	8	7
88	его в	4	7
89	о чем	4	7
90	могут быть	2	7
91	и ее	7	7
92	и для	5	7
93	но это	13	7
94	в процессе	2	7
95	на сцене	2	7
96	что и	11	7
97	в этой	10	7
98	другой стороны	11	7
99	к этому	2	7
100	в пределах	3	7
101	ни для	2	7
102	ни в	17	7
103	той же	2	7
104	и его	12	7
105	таким образом	13	7
106	никогда не	7	6
107	что он	16	6
108	одновременно и	4	6
109	в контексте	3	6
110	именно в	4	6
111	тому как	2	6
112	однако в	3	6
113	что же	9	6
114	здесь не	11	6
115	крайней мере	9	6
116	и может	4	6
117	в истории	4	6
118	в ее	6	6
119	и то	17	6
120	в эпоху	2	6
121	то в	4	6
122	дело в	6	6
123	во всех	4	6
124	сказать и	2	6
125	времени и	4	6
126	по крайней	9	6
127	в которых	3	6
128	с точки	9	6
129	в античной	2	5
130	в первую	3	5
131	ничего не	4	5
132	в другом	4	5
133	в виду	20	5
134	в их	2	5
135	и потому	13	5
136	того что	10	5
137	о нем	2	5
138	стороны и	3	5
139	несмотря на	4	5
140	известного рода	5	5
141	же касается	5	5
142	здесь в	3	5
143	первую очередь	3	5
144	как будто	11	5
145	сказать что	24	5
146	но она	2	5
147	за пределы	6	5
148	не обязательно	4	5
149	с ее	5	5
150	в значительной	2	5
151	себе не	2	5
152	но они	4	5
153	в литературе	3	5
154	подобно тому	3	5
155	и состоит	2	5
156	зрения на	2	5
157	не вполне	3	5
158	в той	8	5
159	как раз	11	5
160	говорить о	7	5
161	же самое	20	5
162	не к	2	5
163	в ней	12	5
164	тем что	8	5
165	не о	2	4
166	из того	3	4
167	для меня	4	4
168	с той	5	4
169	однако это	6	4
170	и прежде	3	4
171	подобного рода	13	4
172	и тем	16	4
173	у них	2	4
174	того или	8	4
175	может иметь	4	4
176	по своему	6	4
177	как это	4	4
178	и это	11	4
179	только на	6	4
180	ни одна	2	4
181	человеческой жизни	4	4
182	произведение в	2	4
183	что не	4	4
184	и до	3	4
185	и во	5	4
186	того и	2	4
187	что они	8	4
188	во всяком	14	4
189	или иного	5	4
190	мы имеем	7	4
191	с ней	5	4
192	а к	2	4
193	это в	2	4
194	однако и	2	4
195	в результате	8	4
196	этом случае	8	4
197	отличается от	8	4
198	тем не	23	4
199	связи с	10	4
200	самое можно	2	4
201	оказывается не	2	4
202	тот или	4	4
203	одним из	2	4
204	есть в	6	4
205	но уже	4	4
206	в самом	4	4
207	будто бы	7	4
208	не есть	57	4
209	и к	9	4
210	со своим	2	4
211	жизни а	4	4
212	по себе	36	4
213	и весьма	3	4
214	или в	7	4
215	и есть	9	4
216	с ним	11	4
217	еще и	10	3
218	первый взгляд	3	3
219	вопрос о	2	3
220	и притом	7	3
221	истории в	2	3
222	указывает на	13	3
223	понятие о	2	3
224	в тех	3	3
225	вплоть до	3	3
226	к другим	2	3
227	это и	11	3
228	речь о	2	3
229	это понятие	3	3
230	языка и	4	3
231	в области	2	3
232	в одно	4	3
233	но оно	3	3
234	на основании	2	3
235	как на	2	3
236	а его	2	3
237	у пушкина	9	3
238	но как	6	3
239	она не	3	3
240	на том	3	3
241	более или	2	3
242	об этом	7	3
243	заметить что	2	3
244	своей собственной	3	3
245	что на	2	3
246	не говоря	2	3
247	котором он	2	3
248	этого термина	6	3
249	их с	2	3
250	между собой	3	3
251	и он	3	3
252	не требует	2	3
253	в мифе	6	3
254	для этого	9	3
255	о его	3	3
256	все эти	14	3
257	о ней	3	3
258	было бы	14	3
259	мы не	15	3
260	дело не	4	3
261	более не	2	3
262	некоторого рода	13	3
263	как мы	12	3
264	да и	9	3
265	одно и	4	3
266	содержит в	13	3
267	и от	11	3
268	тут же	12	3
269	с этим	5	3
270	в начале	3	3
271	бы быть	5	3
272	его как	3	3
273	особенно в	2	3
274	с их	2	3
275	хотя бы	6	3
276	в которой	3	3
277	к ней	2	3
278	и по	3	3
279	не просто	36	3
280	но также	2	3
281	на первый	6	3
282	и наконец	2	3
283	выступают в	2	3
284	чем не	4	3
285	заключается в	8	3
286	дело с	3	3
287	и более	6	3
288	рассматривать как	2	3
289	имеет свою	3	3
290	или менее	2	3
291	но все	5	3
292	отношения к	3	3
293	не имеет	12	3
294	речи в	2	3
295	является в	3	3
296	их в	2	3
297	когда он	2	3
298	входит в	3	3
299	уже в	5	3
300	всяком случае	8	3
301	жизни и	7	3
302	то ни	7	3
303	или даже	6	3
304	и сам	6	3
305	жизни но	2	3
306	слова и	3	3
307	о себе	2	3
308	и что	9	3
309	жизни не	2	3
310	однако не	4	3
311	имеем дело	2	3
312	и без	9	3
313	тем же	2	3
314	вместе с	3	3
315	категории в	2	2
316	от его	4	2
317	в отношении	4	2
318	чтобы не	2	2
319	что является	2	2
320	ни о	8	2
321	именно о	2	2
322	от всего	3	2
323	мы должны	13	2
324	для всех	3	2
325	не имеют	4	2
326	а потом	2	2
327	едва ли	8	2
328	друг друга	5	2
329	за счет	2	2
330	есть не	13	2
331	сами по	8	2
332	он как	2	2
333	себе как	4	2
334	быть и	3	2
335	в чистом	4	2
336	бы его	2	2
337	из трех	2	2
338	и вся	2	2
339	и при	2	2
340	о которых	3	2
341	самом деле	6	2
342	одной и	2	2
343	просто как	2	2
344	в чем	5	2
345	его не	2	2
346	что даже	6	2
347	этого понятия	2	2
348	не являются	4	2
349	по существу	2	2
350	мы видели	2	2
351	в него	2	2
352	к нему	3	2
353	только с	5	2
354	себя не	3	2
355	уже как	3	2
356	а только	9	2
357	или по	6	2
358	это тоже	4	2
359	жизнь в	3	2
360	свидетельствует о	2	2
361	разного рода	4	2
362	в голову	2	2
363	мы его	2	2
364	на ее	2	2
365	не то	2	2
366	же не	2	2
367	не всякий	4	2
368	или письма	2	2
369	иметь в	2	2
370	пушкина и	3	2
371	как нечто	9	2
372	все это	9	2
373	который в	2	2
374	этого слова	5	2
375	выходит за	2	2
376	же как	5	2
377	вовсе не	62	2
378	бы то	5	2
379	по поводу	3	2
380	и вообще	20	2
381	не могли	2	2
382	но отнюдь	2	2
383	утверждать что	3	2
384	с другими	6	2
385	только то	4	2
386	же это	2	2
387	однако для	2	2
388	необходимо чтобы	2	2
389	тем более	8	2
390	что она	5	2
391	в новое	3	2
392	это было	4	2
393	не нужно	2	2
394	мы можем	11	2
395	на него	3	2
396	за ним	2	2
397	то чтобы	2	2
398	если бы	9	2
399	и той	2	2
400	в меру	2	2
401	в языке	4	2
402	и вполне	9	2
403	ни было	5	2
404	для того	5	2
405	с этой	3	2
406	понимать как	4	2
407	себе и	4	2
408	нас в	5	2
409	указания на	4	2
410	не был	3	2
411	на этот	4	2
412	ни с	5	2
413	значение в	3	2
414	всей его	2	2
415	ее в	2	2
416	поэтому в	2	2
417	на то	6	2
418	в самой	4	2
419	с понятием	4	2
420	еще более	3	2
421	время и	2	2
422	и с	11	2
423	но для	3	2
424	но на	2	2
425	обратить внимание	2	2
426	из которых	6	2
427	в настоящем	3	2
428	произведения в	2	2
429	не знаем	2	2
430	к их	2	2
431	он сам	7	2
432	мы все	5	2
433	то ли	2	2
434	является не	2	2
435	он есть	2	2
436	только о	3	2
437	и только	10	2
438	во всем	2	2
439	в нашем	13	2
440	чем он	2	2
441	а как	2	2
442	имеет своим	2	2
