N	3gram	Trubetskoy	StatiiOP
1	в том что	16	47
2	о том что	4	29
3	для того чтобы	7	19
4	до сих пор	15	19
5	с точки зрения	8	14
6	во всяком случае	2	13
7	с другой стороны	4	13
8	не может быть	4	11
9	в то же	2	9
10	в самом деле	5	9
11	то же время	2	9
12	на то что	7	9
13	вместе с тем	3	9
14	на самом деле	7	8
15	тем не менее	4	8
16	том что он	2	7
17	в данном случае	3	7
18	в конце концов	4	7
19	в этой области	4	7
20	заключается в том	3	7
21	в то время	2	7
22	но все же	2	7
23	по отношению к	11	6
24	так же как	3	6
25	что же касается	2	5
26	в том же	3	5
27	тот факт что	4	5
28	ничего общего с	2	4
29	в связи с	3	4
30	с одной стороны	2	4
31	и в том	2	4
32	так или иначе	5	4
33	во всех этих	2	3
34	бы то ни	3	3
35	таким образом в	3	3
36	совершенно так же	4	3
37	к тому же	5	3
38	в этом случае	4	3
39	а с другой	2	3
40	более или менее	8	3
41	принять во внимание	2	3
42	он не может	2	2
43	но вместе с	2	2
44	в целом ряде	3	2
45	ответить на вопрос	2	2
46	может быть и	4	2
47	из того же	2	2
48	как и в	2	2
49	а между тем	8	2
50	не может не	3	2
51	то ни было	3	2
52	в настоящее время	3	2
53	то что у	2	2
54	и то что	3	2
55	в свою очередь	2	2
