N	2gram	Losev_Vesc	Myshleni
1	в том	15	195
2	в этом	17	167
3	то что	47	166
4	и в	44	162
5	том что	13	161
6	таким образом	16	147
7	точки зрения	10	143
8	что в	11	119
9	не только	48	116
10	того что	16	109
11	так же	4	100
12	потому что	25	95
13	того чтобы	4	91
14	может быть	37	89
15	с точки	6	89
16	что он	7	86
17	не может	44	81
18	как и	15	79
19	так как	17	78
20	для того	3	78
21	и не	57	78
22	только в	23	75
23	в целом	3	74
24	как мы	6	72
25	но и	19	70
26	заключается в	3	67
27	в его	5	67
28	сказать что	21	65
29	как бы	19	64
30	вместе с	4	62
31	в качестве	4	60
32	и что	22	60
33	было бы	24	60
34	то же	12	58
35	в основе	4	58
36	в отношении	7	55
37	что мы	17	53
38	в силу	4	53
39	между собой	2	53
40	в самом	13	52
41	в сущности	7	51
42	по сравнению	8	51
43	мы должны	5	50
44	к тому	3	49
45	что они	12	48
46	мы можем	4	48
47	тем что	7	48
48	мы не	8	47
49	тогда когда	5	47
50	понятий и	2	47
51	сравнению с	7	46
52	если бы	8	46
53	но не	9	45
54	с другой	8	45
55	тем самым	2	43
56	с тем	8	43
57	же как	3	43
58	как это	4	42
59	тому что	2	42
60	не является	3	41
61	по своей	3	40
62	одной стороны	3	40
63	о том	11	40
64	так и	4	39
65	никогда не	5	39
66	с одной	3	39
67	мы видели	3	38
68	вопрос о	6	37
69	не в	14	37
70	если мы	12	37
71	в этой	4	37
72	мы видим	5	37
73	в своем	9	36
74	все эти	5	36
75	и его	4	36
76	как в	3	36
77	а не	34	36
78	того же	5	35
79	друг с	2	35
80	с другом	2	35
81	можно было	6	35
82	он не	4	35
83	в которой	5	35
84	в себе	23	35
85	для себя	6	35
86	и как	12	34
87	приводит к	2	34
88	прежде всего	17	33
89	по себе	22	33
90	что и	11	32
91	именно в	2	32
92	но в	8	32
93	слова и	7	32
94	той же	2	32
95	и тем	7	32
96	что оно	10	32
97	и на	2	32
98	и то	14	31
99	из того	3	31
100	все же	18	31
101	мысли и	5	30
102	этом отношении	2	30
103	на то	9	30
104	от того	7	29
105	переход от	2	28
106	с этим	4	28
107	самом деле	7	28
108	что все	2	27
109	в своей	6	27
110	только что	2	27
111	с этой	6	27
112	в результате	9	27
113	в то	11	27
114	перед нами	3	27
115	другой стороны	3	27
116	и с	11	27
117	в их	4	26
118	в частности	3	26
119	что это	18	26
120	для него	8	26
121	в собственном	3	26
122	собственном смысле	4	26
123	все это	7	25
124	еще не	12	25
125	уже в	2	25
126	что она	23	25
127	это не	9	25
128	только не	5	25
129	в чем	10	25
130	можно сказать	8	25
131	мы уже	3	25
132	так что	9	24
133	тот же	4	24
134	что эта	2	24
135	в нем	6	24
136	в слове	2	24
137	оба эти	3	24
138	в смысле	22	24
139	в сфере	6	24
140	как он	2	23
141	бы в	9	23
142	слова в	2	23
143	ни в	11	23
144	этот вопрос	6	23
145	во всяком	4	22
146	то время	4	22
147	отношение к	4	21
148	в истории	3	21
149	и более	4	21
150	его в	8	21
151	к этому	2	21
152	и все	6	21
153	между ними	6	21
154	и следовательно	20	21
155	и ее	19	21
156	не имеет	2	21
157	в свете	8	21
158	же точно	2	21
159	в котором	4	20
160	в виду	2	20
161	по существу	3	20
162	а в	6	20
163	должно быть	8	20
164	время как	4	20
165	из них	7	20
166	как раз	16	20
167	в другом	3	20
168	и их	11	20
169	на вопрос	2	20
170	на этом	4	20
171	не менее	11	20
172	об отношении	4	19
173	мы говорили	2	19
