N	2gram	Tiupa_Narr	Mirosoze
1	и в	19	97
2	может быть	25	64
3	не только	32	63
4	в этом	17	55
5	но и	23	54
6	он не	3	53
7	а не	12	53
8	в нем	4	49
9	не может	10	49
10	у него	4	47
11	и не	20	39
12	никогда не	3	38
13	в ней	3	37
14	не было	2	36
15	не в	14	34
16	и есть	2	33
17	для него	2	31
18	человека в	2	30
19	не есть	3	30
20	прежде всего	4	29
21	как и	7	29
22	но в	6	27
23	и он	3	27
24	в мире	9	27
25	и все	2	24
26	в своем	2	23
27	что в	3	23
28	что он	6	22
29	в себе	8	20
30	отношение к	2	20
31	как бы	4	19
32	в его	9	18
33	и потому	2	17
34	того что	2	17
35	в том	18	16
36	том что	14	16
37	то что	11	16
38	было бы	4	16
39	и его	5	16
40	быть может	2	15
41	в этой	5	15
42	она не	2	14
43	та же	2	13
44	и на	3	13
45	это не	2	12
46	к нему	5	12
47	но не	6	12
48	он сам	2	12
49	хотя бы	4	11
50	только в	4	11
51	как в	7	11
52	и для	2	11
53	уже не	5	11
54	жизни и	3	11
55	так же	2	10
56	это и	3	10
57	один из	3	10
58	должна быть	2	10
59	то же	4	10
60	не имеет	2	10
61	а в	11	9
62	к тому	7	9
63	не будет	3	9
64	то есть	19	9
65	он уже	2	9
66	в свою	3	9
67	не мог	4	9
68	ничего не	2	8
69	они не	2	8
70	мира и	2	8
71	что не	4	8
72	с его	6	8
73	себя в	5	8
74	тем что	3	8
75	нет и	2	8
76	о том	6	8
77	и с	4	8
78	уже в	3	8
79	те же	4	7
80	мог бы	3	7
81	точки зрения	10	7
82	себя и	2	7
83	жизни в	3	7
84	не существует	3	7
85	отношения к	2	7
86	его в	2	6
87	не как	2	6
88	нет у	2	6
89	в ее	3	6
90	что это	3	6
91	можно было	2	6
92	было в	2	6
93	бы не	2	6
94	по своей	3	6
95	что у	2	6
96	оно не	2	5
97	в то	3	5
98	к которому	2	5
99	так и	9	5
100	они и	2	5
101	сказать что	4	5
102	в основе	5	5
103	да и	4	5
104	одно из	2	5
105	отличается от	4	5
106	и как	5	5
107	еще не	7	5
108	как будто	3	5
109	на протяжении	6	5
110	когда он	3	5
111	в самую	2	5
112	личности в	2	5
113	по отношению	7	4
114	иное как	2	4
115	не что	2	4
116	к себе	5	4
117	как к	2	4
118	не всегда	2	4
119	что иное	2	4
120	есть в	2	4
121	к другому	2	4
122	а с	3	4
123	и тот	2	4
124	могут быть	3	4
125	и до	2	4
126	все эти	2	4
127	что они	3	4
128	не все	5	4
129	не от	2	4
130	и даже	3	4
131	ни в	3	4
132	и только	2	4
133	особенно в	3	4
134	его личности	2	4
135	отношению к	6	4
136	не случайно	2	4
137	в той	6	4
138	может не	3	4
139	будто бы	3	4
140	о чем	2	3
141	приходит к	2	3
142	одним из	2	3
143	и тем	4	3
144	это все	2	3
145	все же	7	3
146	она может	2	3
147	на том	3	3
148	между тем	3	3
149	же как	3	3
150	и когда	2	3
151	хотя и	3	3
152	значительной степени	2	3
153	истории и	2	3
154	в противоположность	2	3
155	в значительной	2	3
156	и самого	3	3
157	что нет	2	3
158	в иной	2	3
159	от всех	2	3
160	в пределах	2	3
161	не с	3	3
162	приводит к	2	3
163	есть всегда	2	3
164	жизни а	2	3
165	тому как	2	3
166	роль в	2	3
167	и после	2	3
168	не о	3	2
169	или иной	5	2
170	он идет	2	2
171	если в	3	2
172	различие между	2	2
173	за собой	4	2
174	такого рода	7	2
175	самом деле	2	2
176	а во	3	2
177	о нем	4	2
178	не менее	3	2
179	в церкви	4	2
180	тем самым	6	2
181	к самому	2	2
182	ему в	2	2
183	между ними	2	2
184	не столько	4	2
185	же не	4	2
186	о своей	2	2
187	связи с	4	2
188	в сущности	3	2
189	и ее	2	2
190	во всей	2	2
191	столь же	3	2
192	этого слова	2	2
193	между двумя	5	2
194	в прошлом	3	2
195	когда мы	2	2
196	то в	6	2
197	бы быть	3	2
198	его как	2	2
199	у нее	2	2
200	этом отношении	3	2
201	переход от	4	2
202	мира в	5	2
203	подобно тому	2	2
204	в какой	2	2
205	с человеком	2	2
206	с другой	8	2
207	истории в	3	2
208	во втором	4	2
209	жизни как	3	2
210	если не	4	2
211	что мы	2	2
212	по себе	5	2
