N	2gram	Propp_Morf	Psycholo
1	то что	10	193
2	и в	17	190
3	в том	10	163
4	что в	10	123
5	потому что	7	114
6	том что	7	113
7	и что	3	108
8	может быть	61	107
9	таким образом	26	102
10	в этом	18	100
11	как бы	6	80
12	для того	3	78
13	того чтобы	4	78
14	что он	5	76
15	не только	8	75
16	на то	3	73
17	и не	16	73
18	что она	2	71
19	самом деле	4	70
20	и т	62	69
21	точки зрения	7	69
22	не может	19	68
23	если мы	6	66
24	так как	20	63
25	так же	4	63
26	было бы	5	56
27	если бы	3	55
28	то же	10	54
29	о том	6	54
30	как и	4	51
31	что и	10	50
32	а не	11	50
33	что это	3	49
34	только в	3	46
35	в сущности	3	46
36	сказать что	4	46
37	к тому	5	45
38	не в	3	45
39	в этой	3	43
40	ясно что	5	43
41	показать что	4	43
42	как это	7	40
43	но и	9	40
44	при помощи	12	39
45	того что	3	39
46	мы видим	15	37
47	и как	6	36
48	с тем	2	35
49	вовсе не	6	34
50	и его	3	34
51	все же	9	33
52	тому что	5	33
53	все это	2	32
54	мы не	8	31
55	он не	5	31
56	для нас	2	31
57	как будто	2	30
58	мы увидим	10	30
59	как в	5	30
60	с одной	2	29
61	и для	4	29
62	с точки	6	29
63	одной стороны	2	29
64	что мы	2	28
65	и когда	2	28
66	что они	5	28
67	увидим что	2	28
68	мы можем	5	28
69	в основе	2	27
70	с другой	9	27
71	в своих	2	27
72	а в	8	27
73	и здесь	7	25
74	только что	3	25
75	в целом	5	24
76	тем что	4	24
77	целый ряд	3	23
78	могут быть	21	23
79	один из	7	23
80	и даже	2	22
81	т д	60	22
82	с этим	14	22
83	между тем	5	22
84	из них	4	22
85	как мы	8	21
86	ни в	3	21
87	в которых	2	21
88	что эта	2	21
89	и только	3	21
90	она не	2	20
91	все эти	5	20
92	в то	4	20
93	это не	6	20
94	несмотря на	4	20
95	там где	5	20
96	мы имеем	19	20
97	другой стороны	5	20
98	на этом	4	20
99	мы должны	3	19
100	в какой	3	19
101	у него	2	19
102	в одном	2	19
103	что при	3	19
104	мы уже	4	19
105	в каком	2	18
106	на самом	4	18
107	перед нами	14	18
108	видим что	12	18
109	но в	4	18
110	но не	8	18
111	в которой	3	18
112	с этой	3	18
113	вслед за	5	18
114	можно было	4	18
115	действующих лиц	22	18
116	и есть	3	18
117	одна из	5	17
118	во всяком	2	17
