N	3gram	Vygotskiy_	TeoriaLi
1	в том что	33	10
2	по отношению к	19	10
3	в отличие от	3	7
4	состоит в том	7	6
5	с другой стороны	8	6
6	в данном случае	3	5
7	для того чтобы	20	5
8	не может быть	4	5
9	и того же	8	4
10	одного и того	8	4
11	с точки зрения	12	3
12	с одной стороны	10	3
13	в этом смысле	5	3
14	в том числе	2	3
15	подобно тому как	6	3
16	можно сказать что	7	3
17	по своей природе	2	3
18	тех или иных	2	3
19	в связи с	6	3
20	в свою очередь	4	3
21	не только не	7	2
22	тем или иным	2	2
23	в известном смысле	7	2
24	в самом начале	2	2
25	но он не	5	2
26	этой точки зрения	7	2
27	в самом деле	6	2
28	а с другой	3	2
29	том числе и	2	2
30	том что он	3	2
31	мы имеем дело	2	2
32	к тому что	5	2
33	с этой точки	7	2
34	то что они	2	2
35	и тем самым	3	2
36	включает в себя	2	2
37	сама по себе	4	2
38	не могут быть	3	2
