N	2gram	Bakhtin_KF	Vvedenie
1	в том	6	38
2	в этом	15	35
3	и в	28	35
4	том что	4	30
5	может быть	45	30
6	не только	5	26
7	для того	3	23
8	того чтобы	2	22
9	не может	29	19
10	то что	7	19
11	потому что	2	18
12	со стороны	8	16
13	о том	3	16
14	только в	18	16
15	и не	28	13
16	что в	4	13
17	в нем	32	13
18	и именно	2	13
19	в их	9	12
20	того что	3	12
21	точки зрения	13	12
22	в его	42	12
23	этом смысле	3	11
24	в данном	2	11
25	то же	5	11
26	по себе	2	11
27	в ее	17	11
28	ясно что	3	11
29	вопрос о	2	10
30	не в	13	10
31	прежде всего	4	10
32	но в	5	10
33	между тем	4	10
34	тем не	2	9
35	и как	2	9
36	все же	5	9
37	но не	12	9
38	не менее	3	9
39	дело с	2	9
40	это не	10	8
41	именно в	5	8
42	в качестве	2	8
43	и то	2	7
44	самом деле	3	7
45	как и	5	7
46	как бы	9	7
47	но и	9	7
48	только как	4	7
49	было бы	8	7
50	его в	5	6
51	хотя бы	5	6
52	тем что	3	6
53	с тем	2	6
54	и это	12	6
55	а в	5	6
56	уже не	7	6
57	могут быть	3	6
58	в то	3	6
59	один из	2	6
60	и его	18	6
61	все это	10	6
62	же время	2	6
63	вовсе не	7	6
64	независимо от	3	5
65	дело в	2	5
66	дело не	2	5
67	и т.д	4	5
68	в виду	3	5
69	и тем	3	5
70	а как	2	5
71	что он	2	5
72	быть в	4	5
73	что не	3	5
74	по своему	3	5
75	от этого	2	5
76	не есть	22	5
77	в целом	10	5
78	что и	7	5
79	говорить о	2	5
80	а не	17	5
81	мы имеем	5	4
82	и ее	2	4
83	в области	2	4
84	по отношению	26	4
85	в каждом	3	4
86	должен быть	7	4
87	это только	2	4
88	но ведь	5	4
89	еще не	5	4
90	времени и	4	4
91	отношению к	22	4
92	в чем	4	4
93	но все	6	4
94	и для	10	4
95	не имеет	6	4
96	только с	3	4
97	в котором	24	4
98	в виде	2	4
99	тогда когда	3	4
100	в одном	5	4
101	здесь нет	3	4
102	в себе	21	4
103	с точки	10	4
104	в своей	11	4
105	никогда не	5	3
106	до конца	3	3
107	в каком	4	3
108	что это	4	3
109	только по	2	3
110	или иной	2	3
111	в своем	17	3
112	как оно	2	3
113	нисколько не	4	3
114	бы и	3	3
115	для этого	2	3
116	к этому	2	3
117	не как	4	3
118	в другом	3	3
119	от того	3	3
120	отношение к	6	3
121	и здесь	7	3
122	если бы	8	3
123	в принципе	2	3
124	областей культуры	2	3
125	как в	2	3
126	или как	2	3
127	к нему	12	3
128	и на	3	3
129	гораздо более	2	3
130	другое дело	2	3
131	в ней	3	3
132	входит в	4	3
133	мы говорим	2	3
134	из которых	2	3
135	от себя	10	3
136	совсем не	2	3
137	здесь не	3	3
138	и того	2	3
139	при этом	4	3
140	все эти	11	3
141	той или	3	3
142	и есть	10	3
143	не следует	2	3
144	в этой	2	3
145	и других	2	3
146	ничего не	3	2
147	и потому	2	2
148	его к	2	2
149	во всех	11	2
150	или иным	2	2
151	но как	5	2
152	для нее	9	2
153	должно быть	6	2
154	действительности в	2	2
155	деятельности и	2	2
156	не нужно	2	2
157	в определенной	2	2
158	в соответствии	2	2
159	ее от	2	2
160	есть действительно	2	2
161	единого и	9	2
162	не со	2	2
163	а с	2	2
164	одного и	2	2
165	так и	2	2
166	ни к	2	2
167	отношении к	2	2
168	лишь как	3	2
169	смысле в	2	2
170	есть лишь	5	2
171	тому что	2	2
172	это уже	2	2
173	могло бы	4	2
174	в своих	4	2
175	ни одна	2	2
176	себе и	3	2
177	в свою	3	2
178	жизни как	5	2
179	котором он	3	2
180	соответствии с	2	2
181	но это	6	2
182	он и	2	2
183	и совершенно	3	2
184	себя в	8	2
185	ближе к	3	2
186	жизни и	8	2
187	смысле и	2	2
188	не было	8	2
189	познания и	4	2
190	из него	4	2
191	мы не	3	2
192	это есть	2	2
193	именно на	2	2
194	должна быть	4	2
195	во всем	7	2
196	этого слова	2	2
197	из его	3	2
198	рядом с	3	2
199	отсюда и	3	2
200	быть и	3	2
