N	3gram	Tiupa_Anal	EvropaiC
1	в том что	13	16
2	по отношению к	9	11
3	друг с другом	2	9
4	более или менее	2	8
5	с точки зрения	6	8
6	для того чтобы	3	7
7	на то что	2	7
8	лишь в том	3	5
9	в самом деле	3	5
10	к тому же	6	5
11	тем не менее	3	4
12	с другой стороны	2	4
13	в этом случае	4	4
14	о том что	8	4
15	не может быть	17	4
16	то ни было	3	3
17	бы то ни	3	3
18	в данном случае	3	3
19	и того же	2	3
20	одного и того	2	3
21	в связи с	2	3
22	в нашем случае	3	2
23	с одной стороны	6	2
24	в том и	2	2
25	то же время	7	2
26	как и в	2	2
27	том что он	2	2
28	в то же	9	2
