N	2gram	Losev_Prob	Morfolog
1	и т	2	62
2	может быть	11	61
3	таким образом	20	26
4	могут быть	2	21
5	так как	10	20
6	мы имеем	3	19
7	не может	6	19
8	в этом	31	18
9	в этих	3	17
10	и в	48	17
11	и не	29	16
12	перед нами	14	14
13	с этим	3	14
14	прежде всего	15	14
15	по существу	2	13
16	при помощи	12	12
17	связи с	11	12
18	а не	7	11
19	вопрос о	2	10
20	то же	6	10
21	в том	25	10
22	не всегда	5	10
23	то что	26	10
24	так и	15	10
25	что в	12	10
26	что и	8	10
27	в связи	11	10
28	все же	12	9
29	но и	21	9
30	с другой	8	9
31	не только	28	8
32	представляет собою	3	8
33	в тех	2	8
34	в результате	11	8
35	но не	12	8
36	а в	8	8
37	мы не	7	8
38	в качестве	9	8
39	как мы	5	8
40	не могут	3	7
41	том что	29	7
42	если в	2	7
43	по отношению	2	7
44	тем не	8	7
45	наряду с	2	7
46	или же	2	7
47	не менее	8	7
48	отношению к	2	7
49	как это	5	7
50	а также	8	7
51	точки зрения	17	7
52	во втором	2	7
53	один из	2	7
54	потому что	21	7
55	это не	8	6
56	но это	7	6
57	не все	3	6
58	во всех	2	6
59	и как	10	6
60	или в	7	6
61	и другие	4	6
62	также и	21	6
63	в нашем	5	6
64	о том	17	6
65	если мы	2	6
66	в образе	2	6
67	с точки	13	6
68	как бы	10	6
69	вовсе не	18	6
70	ничего не	3	5
71	они и	2	5
72	и ее	2	5
73	вслед за	2	5
74	хотя бы	11	5
75	не будем	3	5
76	мы можем	5	5
77	было бы	12	5
78	об этом	11	5
79	то перед	2	5
80	что он	12	5
81	как в	3	5
82	далеко не	6	5
83	тому что	2	5
84	прежде чем	2	5
85	к тому	7	5
86	из которых	2	5
87	между тем	2	5
88	видно что	2	5
89	другой стороны	8	5
90	на его	4	5
91	в других	5	5
92	все эти	12	5
93	что они	4	5
94	он не	4	5
95	хотя и	10	5
96	учение о	4	5
97	ясно что	11	5
98	сказать что	13	4
99	на самом	2	4
100	его в	9	4
101	так же	7	4
102	в то	6	4
103	значит что	3	4
104	можно было	4	4
105	к этому	2	4
106	на него	3	4
107	тем что	2	4
108	не является	2	4
109	еще не	4	4
110	самом деле	3	4
111	из них	4	4
112	но в	17	4
113	но все	6	4
114	что его	4	4
115	и для	11	4
116	как и	10	4
117	а если	4	4
118	уже не	12	4
119	и к	9	4
120	смысле слова	12	4
121	несмотря на	7	4
122	того чтобы	3	4
123	с теми	3	4
124	случае не	2	4
125	мы уже	2	4
126	в таких	2	3
127	то в	4	3
128	время как	4	3
129	но эти	2	3
130	но как	3	3
131	здесь не	12	3
132	в настоящее	7	3
133	в которой	7	3
134	то ни	4	3
135	это было	2	3
136	что это	4	3
137	и их	7	3
138	и у	8	3
139	только что	2	3
140	если бы	2	3
141	в виде	25	3
142	это и	4	3
143	кроме того	5	3
144	и тем	4	3
145	он должен	2	3
146	не в	16	3
147	для того	4	3
148	и при	2	3
149	с этой	4	3
150	у нас	17	3
151	к ней	2	3
152	в какой	5	3
153	того что	8	3
154	здесь мы	2	3
155	ее в	2	3
156	к нему	3	3
157	это уже	4	3
158	они не	3	3
159	на то	2	3
160	а то	2	3
161	ни в	17	3
162	заметим что	4	3
163	но для	2	3
164	настоящее время	7	3
165	большинстве случаев	2	3
166	совсем не	4	3
167	в начале	6	3
168	можно назвать	2	3
169	и что	9	3
170	то время	4	3
171	и тогда	4	3
172	и по	2	3
173	же в	4	3
174	и его	11	3
175	только в	21	3
176	и есть	4	3
177	и только	4	3
178	значение и	2	3
179	все еще	4	3
180	в этой	14	3
181	мы будем	2	3
182	по всему	2	3
183	бы то	4	3
184	с его	3	3
185	данном случае	5	2
186	в каких	3	2
187	в россии	2	2
188	в данном	6	2
189	из этих	2	2
190	том как	2	2
191	одной стороны	5	2
192	к другой	2	2
193	дается в	2	2
194	бы в	2	2
195	а потом	4	2
196	в обоих	2	2
197	в глаза	3	2
198	иное как	3	2
199	не что	3	2
200	в другом	6	2
201	и даже	24	2
202	что она	2	2
203	мотив не	3	2
204	в середине	2	2
205	что именно	2	2
206	этом отношении	4	2
207	в частности	5	2
208	только для	5	2
209	ни было	2	2
210	этого не	2	2
211	и за	2	2
212	между собою	2	2
213	ни к	2	2
214	что иное	3	2
215	в чем	3	2
216	с одной	5	2
217	а с	4	2
218	и более	3	2
219	одной из	5	2
220	с тем	7	2
221	не так	4	2
222	входить в	3	2
223	сказать о	2	2
224	не имеет	3	2
225	но так	2	2
226	могли бы	2	2
227	в своих	3	2
228	перейти к	3	2
229	не входит	2	2
230	однако в	4	2
231	если он	4	2
232	для нас	14	2
233	очень много	3	2
234	такую же	2	2
235	что мы	4	2
236	это можно	2	2
237	точно так	4	2
238	что этот	6	2
239	в одной	2	2
240	всяком случае	6	2
241	об освобождении	2	2
242	к другому	5	2
243	этот же	2	2
244	хотя они	2	2
245	что эта	3	2
246	все это	8	2
247	она в	2	2
248	у него	13	2
249	как будто	9	2
250	о похищении	3	2
251	можно сказать	10	2
252	который в	10	2
253	это мы	2	2
254	для него	2	2
255	в одном	6	2
256	во всяком	7	2
257	без всякого	3	2
258	по своему	3	2
259	тем же	4	2
260	того как	5	2
