N	3gram	Savitsky_E	Problema
1	в том что	6	37
2	в данном случае	2	28
3	той или иной	4	26
4	во всяком случае	3	25
5	с точки зрения	16	25
6	с другой стороны	2	25
7	на то что	2	19
8	в этом смысле	3	19
9	для того чтобы	5	17
10	в то же	15	17
11	можно было бы	3	13
12	того или иного	4	13
13	не может быть	2	12
14	можно сказать что	3	12
15	и в этом	4	12
16	и в частности	2	12
17	бы то ни	4	11
18	с одной стороны	8	11
19	не только в	4	10
20	в той или	3	10
21	не говоря уже	2	9
22	только в том	2	8
23	заключается в том	2	8
24	так и в	2	6
25	то что в	2	6
26	само по себе	4	6
27	то ни было	4	6
28	и только в	2	6
29	в этом отношении	3	6
30	хотя бы и	3	5
31	и прежде всего	3	5
32	же как и	3	5
33	так же как	5	5
34	как мы видели	2	4
35	этой точки зрения	5	4
36	друг от друга	2	4
37	ту или иную	3	4
38	но в то	2	3
39	с этой точки	5	3
40	и в то	8	3
41	хотя бы в	2	3
42	как нам кажется	5	3
43	одной стороны и	6	3
44	в известном смысле	3	3
45	по сравнению с	2	3
46	каких бы то	2	2
47	и все другие	2	2
48	и не имеет	2	2
49	или хотя бы	2	2
50	нам кажется что	2	2
51	во всех случаях	3	2
52	в свою очередь	2	2
53	и притом в	2	2
54	близко подходит к	2	2
55	в частности в	2	2
56	тому или иному	2	2
57	сказать что в	2	2
