N	3gram	Tiupa_Hudo	Analitik
1	в том что	8	25
2	не может быть	4	19
3	по отношению к	10	18
4	в то же	7	16
5	той или иной	5	14
6	то же время	7	14
7	в отличие от	7	14
8	факторов художественного впечатления	4	13
9	в конечном счете	5	11
10	мы имеем дело	2	11
11	так и не	4	10
12	подобно тому как	3	9
13	с одной стороны	3	9
14	с другой стороны	6	9
15	я в мире	7	9
16	того или иного	4	9
17	в свою очередь	2	9
18	значении этого слова	2	8
19	с точки зрения	3	8
20	присутствия в мире	7	8
21	состоит в том	5	8
22	кадров внутреннего зрения	3	7
23	в таком случае	2	7
24	тем не менее	3	6
25	одного и того	3	6
26	присутствия я в	6	6
27	так или иначе	4	6
28	и того же	3	6
29	в русской литературе	2	5
30	роли в миропорядке	4	5
31	как уже говорилось	2	5
32	в той или	2	5
33	не сводится к	9	4
34	себя в другом	2	4
35	до известной степени	2	4
36	в самом деле	2	4
37	том что он	2	4
38	для того чтобы	5	4
39	в основе своей	2	4
40	в известном смысле	2	4
41	в равной степени	2	4
42	в силу своей	4	4
43	в значительной степени	2	4
44	в этом смысле	3	4
45	тех или иных	2	4
46	сама по себе	2	4
47	то ни было	2	3
48	бы то ни	2	3
49	в противном случае	2	3
50	в имени тебе	2	3
51	о полку игореве	2	3
52	не в самом	2	3
53	тот или иной	3	3
54	кто говорит и	2	3
55	всех без исключения	3	3
56	что в имени	2	3
57	со стороны адресата	2	3
58	однако при этом	2	3
59	как бы не	2	3
60	в том числе	3	3
61	организации художественного текста	3	3
62	в связи с	3	3
63	можно сказать что	3	3
64	включает в себя	2	3
65	и в самом	3	3
66	субъектной организации художественного	2	3
67	в тарасе бульбе	2	3
68	пушкина что в	2	3
69	сказания или анекдота	2	2
70	тем или иным	2	2
71	одно и то	3	2
72	коем случае не	2	2
73	либо в сторону	2	2
74	в коем случае	2	2
75	и то же	3	2
76	я с его	2	2
77	его эстетической доминантой	2	2
78	так лирический герой	2	2
79	времени и в	2	2
80	не следует смешивать	3	2
81	и его внешней	4	2
82	более или менее	6	2
83	стихотворении пушкина что	2	2
84	а с другой	2	2
85	в миропорядке судьбы	2	2
86	внутренней и внешней	2	2
87	во внешнем мире	2	2
88	в единое целое	2	2
89	в войне и	2	2
90	отношения к сообщаемому	2	2
91	по своей природе	2	2
92	ни в коем	2	2
93	следует смешивать с	3	2
94	как совокупность факторов	2	2
95	в слове о	2	2
96	к тому что	2	2
97	совокупность факторов художественного	2	2
98	внутренняя граница личности	2	2
99	это своего рода	2	2
100	позволяет говорить о	2	2
101	в том и	2	2
102	и в форме	2	2
103	в данный момент	2	2
104	с легкой руки	2	2
105	войне и мире	2	2
106	как к содержанию	2	2
107	этой точки зрения	2	2
108	в данном контексте	2	2
109	я героя как	2	2
110	с этой точки	2	2
111	и прежде всего	2	2
112	вокруг я героя	2	2
113	слове о полку	2	2
114	индивидуального речевого замысла	2	2
