N	3gram	Bakhtin_Fr	Dialekti
1	с точки зрения	4	46
2	в том что	4	25
3	сам по себе	2	16
4	то же время	12	15
5	в то же	12	14
6	о том что	4	12
7	с другой стороны	2	12
8	в самом деле	3	10
9	в связи с	2	7
10	и прежде всего	2	6
11	более или менее	3	6
12	с одной стороны	3	6
13	на первый план	2	5
14	в конце концов	5	5
15	до сих пор	3	5
16	в этом отношении	3	4
17	можно было бы	2	4
18	в чем же	2	3
19	но в то	3	3
20	мы находим в	2	3
21	и есть то	2	3
22	как и в	2	3
23	же что и	2	3
24	о том как	3	3
25	не должно быть	2	2
26	но все это	2	2
27	как один из	2	2
28	оно и не	2	2
29	мы видим что	2	2
30	дело в том	2	2
31	мы уже сказали	2	2
32	и даже больше	2	2
33	и в отношении	2	2
34	в свою очередь	3	2
