N	2gram	Bakhtin_sl	NovoeSre
1	а не	29	17
2	и в	69	16
3	не может	27	16
4	и не	32	11
5	и есть	2	10
6	что в	3	9
7	жизни и	5	8
8	в том	7	8
9	он не	5	8
10	может быть	40	7
11	как и	8	7
12	к новому	3	7
13	в этом	21	7
14	культуры и	2	7
15	никогда не	9	6
16	лишь в	6	6
17	ни в	4	6
18	не в	14	6
19	не знает	3	6
20	но это	3	6
21	с его	8	6
22	не только	37	5
23	должен быть	3	5
24	все это	14	5
25	в нем	44	5
26	с ее	6	5
27	в ней	7	5
28	и к	9	5
29	xix века	2	5
30	должно быть	3	4
31	по своему	2	4
32	в них	11	4
33	и для	7	4
34	прежде всего	14	4
35	не менее	4	4
36	не было	4	4
37	и потому	9	4
38	перестает быть	2	4
39	эпохи и	2	4
40	то что	2	4
41	о том	5	4
42	новое время	2	4
43	это не	8	4
44	потому что	2	4
45	и все	9	4
46	смысле слова	2	3
47	в прошлом	2	3
48	но и	37	3
49	с другой	8	3
50	не значит	2	3
51	в ее	2	3
52	она не	8	3
53	к тому	3	3
54	всех сферах	4	3
55	жизни в	2	3
56	в своей	8	3
57	еще не	9	3
58	к ним	2	3
59	в истории	6	3
60	человека и	3	3
61	эти формы	5	3
62	должна быть	3	3
63	в новое	4	3
64	как в	18	3
65	конечно не	7	3
66	не есть	2	3
67	за пределы	6	3
68	в духе	3	3
69	сказать что	4	3
70	во всех	25	3
71	это было	2	3
72	стремится к	2	3
73	в основе	8	3
74	время как	2	2
75	в себе	3	2
76	все они	9	2
77	и с	10	2
78	одна из	6	2
79	формы и	3	2
80	для этого	4	2
81	себя в	14	2
82	но не	7	2
83	что все	2	2
84	и от	5	2
85	роль в	4	2
86	хотя бы	6	2
87	в новом	3	2
88	же как	2	2
89	а в	10	2
90	все время	4	2
91	и общества	2	2
92	но в	13	2
93	том что	6	2
94	и на	17	2
95	с этим	5	2
96	и что	2	2
97	все эти	15	2
98	мы не	4	2
99	на протяжении	3	2
100	в смысле	7	2
101	можно было	2	2
102	в мировой	2	2
103	мира и	4	2
104	у него	5	2
105	от всякого	2	2
106	уже не	5	2
107	по существу	3	2
108	как это	3	2
109	другой стороны	5	2
110	так же	2	2
111	так и	22	2
112	такого рода	2	2
113	могут быть	25	2
114	одной стороны	7	2
115	все категории	2	2
116	но она	2	2
117	в то	17	2
118	не могла	2	2
119	хотя и	4	2
120	связана с	2	2
121	с одной	7	2
122	и формы	4	2
123	том и	2	2
124	xviii века	3	2
125	место в	2	2
126	и даже	11	2
127	вместе с	3	2
