N	3gram	Ircho_Kome	Formalny
1	то же время	5	20
2	в то же	5	20
3	и т д	4	19
4	и т п	7	18
5	во всяком случае	4	16
6	в связи с	3	16
7	по отношению к	5	12
8	в этом отношении	3	11
9	бы то ни	4	10
10	в большинстве случаев	2	9
11	с другой стороны	6	9
12	для того чтобы	3	8
13	до сих пор	3	8
14	вместе с тем	4	8
15	с одной стороны	5	8
16	то ни было	4	7
17	в том что	13	6
18	в этом смысле	2	5
19	в отличие от	3	5
20	к тому что	3	5
21	в конце концов	4	4
22	с самого начала	2	4
23	тем не менее	2	4
24	но и в	2	4
25	в той же	2	4
26	то же самое	2	3
27	т е в	2	3
28	из всего этого	2	3
29	в том числе	4	3
30	так или иначе	4	3
31	и столь же	2	2
32	говоря уже о	4	2
33	как и в	2	2
34	не говоря уже	4	2
35	в это время	3	2
36	друг от друга	2	2
37	именно потому что	2	2
38	что и в	2	2
