N	2gram	Tiupa_Vved	Freidism
1	и не	24	34
2	таким образом	6	34
3	не может	14	30
4	может быть	25	28
5	и в	23	28
6	в этом	27	28
7	прежде всего	11	26
8	в его	9	25
9	и его	9	22
10	мы можем	2	20
11	как бы	8	19
12	как мы	5	18
13	то что	9	17
14	точка зрения	3	15
15	самом деле	6	14
16	так и	14	14
17	в своей	10	14
18	с ним	3	14
19	во всех	2	13
20	и все	8	13
21	но в	14	13
22	как и	21	13
23	по отношению	11	13
24	точку зрения	2	12
25	и потому	2	12
26	том что	16	12
27	то же	8	12
28	что он	2	12
29	мы видели	3	12
30	в самом	6	12
31	и наконец	2	12
32	для него	5	12
33	все это	3	12
34	отношению к	11	11
35	только в	9	11
36	никогда не	6	10
37	и с	2	10
38	не только	32	10
39	но и	31	10
40	не в	12	10
41	он не	6	10
42	в том	21	10
43	все что	3	10
44	один из	3	10
45	что же	6	10
46	могут быть	5	9
47	к этому	3	9
48	те же	2	9
49	совершенно не	2	9
50	и др	2	9
51	к нему	2	9
52	в чем	2	9
53	уже не	7	9
54	и на	5	9
55	мы не	6	9
56	а не	31	9
57	во всяком	3	9
58	все же	10	8
59	было бы	4	8
60	и вот	3	8
61	еще не	8	8
62	а в	15	8
63	в ней	5	8
64	всяком случае	3	8
65	при этом	43	8
66	так сказать	2	7
67	до конца	5	7
68	в жизни	7	7
69	в то	5	7
70	в себе	15	7
71	что в	6	7
72	и ее	2	7
73	хотя бы	2	7
74	и для	8	7
75	отношение к	5	7
76	быть и	2	7
77	роль в	2	7
78	не является	7	7
79	того что	7	7
80	на протяжении	2	7
81	и у	2	7
82	но не	9	7
83	об этом	5	7
84	в нем	9	7
85	и к	2	7
86	жизни и	8	7
87	в этой	2	7
88	на самом	5	6
89	для этого	2	6
90	в высшей	2	6
91	мы имеем	8	6
92	из этих	5	6
93	не менее	4	6
94	в таком	2	6
95	и только	2	6
96	и о	4	6
97	в пределах	3	6
98	к тому	9	6
99	не можем	2	6
100	что такое	23	6
101	можно сказать	6	6
102	ни о	2	6
103	в свою	5	6
104	как раз	5	6
105	и что	2	6
106	высшей степени	2	6
107	же время	4	6
108	во время	3	6
109	в основе	6	6
110	по поводу	5	5
111	что это	2	5
112	ничего не	3	5
113	со стороны	15	5
114	тех же	2	5
115	что она	2	5
116	с их	2	5
117	и по	3	5
118	на первый	3	5
119	в этих	5	5
120	как это	2	5
121	не знает	2	5
122	что и	6	5
123	тому что	2	5
124	далеко не	5	5
125	в своих	5	5
126	это не	7	5
127	той же	3	5
128	отнюдь не	14	5
129	в следующей	2	5
130	того чтобы	2	5
131	не было	5	5
132	с ними	2	5
133	говорить о	5	5
134	заключается в	2	5
135	в период	2	5
136	вместе с	2	5
137	данном случае	15	4
138	человека в	2	4
139	одна из	5	4
140	так же	2	4
141	но это	4	4
142	в области	5	4
143	с ее	3	4
144	в другом	2	4
145	в этот	3	4
146	тем не	3	4
147	на него	3	4
148	этом отношении	7	4
149	если бы	10	4
150	в виду	3	4
151	это только	3	4
152	не всегда	2	4
153	свою очередь	5	4
154	только на	2	4
155	у него	8	4
156	как в	8	4
157	между собой	2	4
158	в своем	9	4
159	по своему	3	4
160	едва ли	4	4
161	и оно	2	4
162	а только	3	4
163	в котором	11	4
164	потому что	7	4
165	в голову	2	4
166	и т.п	14	4
167	не существует	3	4
168	по себе	2	4
169	в целом	4	4
170	мы и	2	4
171	в данном	22	4
172	слова и	3	4
173	сводится к	6	4
174	и от	3	3
175	и притом	3	3
