N	2gram	Propp_Isto	Poddanst
1	не только	30	17
2	и в	41	14
3	и не	12	12
4	в области	3	11
5	в этом	19	10
6	но в	7	9
7	то же	12	9
8	в том	14	9
9	в качестве	5	9
10	в то	6	7
11	только в	10	7
12	но и	20	6
13	было бы	4	6
14	в ней	4	6
15	а я	2	5
16	с другой	20	5
17	не в	12	5
18	и о	2	5
19	в которых	2	5
20	и пр	2	5
21	может быть	19	5
22	по себе	2	4
23	что в	21	4
24	если бы	3	4
25	в своем	3	4
26	том что	18	4
27	а также	2	4
28	мы должны	7	4
29	в котором	3	4
30	в русской	8	4
31	как бы	8	4
32	и если	4	4
33	то что	12	4
34	не может	19	4
35	а в	12	4
36	что мы	3	3
37	и как	3	3
38	с тем	8	3
39	но не	8	3
40	тем самым	3	3
41	это не	14	3
42	т е	34	3
43	сводится к	3	3
44	северной америке	3	3
45	мы не	10	3
46	для того	2	3
47	в себе	3	3
48	точки зрения	4	3
49	потому что	13	3
50	одной стороны	12	3
51	в нем	12	3
52	вслед за	2	3
53	могут быть	3	3
54	прежде всего	6	3
55	и т	29	3
56	хотя и	3	3
57	тот же	2	3
58	с одной	12	3
59	с ними	2	3
60	наряду с	2	3
61	для нас	8	2
62	что из	4	2
63	в них	4	2
64	в жизни	2	2
65	если в	3	2
66	одна из	7	2
67	отношения к	2	2
68	никак не	2	2
69	в эту	3	2
70	стороны и	4	2
71	и это	9	2
72	которую мы	2	2
73	и тем	4	2
74	и других	2	2
75	в его	4	2
76	с этим	3	2
77	и вот	2	2
78	не менее	5	2
79	со стороны	3	2
80	именно в	2	2
81	в начале	2	2
82	в виде	5	2
83	тем более	2	2
84	все это	9	2
85	в частности	3	2
86	как на	3	2
87	а не	9	2
88	не было	3	2
89	и есть	2	2
90	например в	6	2
91	и с	4	2
92	не будем	2	2
93	во всех	8	2
94	в ее	3	2
95	в северной	3	2
96	между прочим	3	2
97	того что	7	2
98	думать что	3	2
99	в силу	2	2
100	главным образом	3	2
101	из них	2	2
102	не столько	4	2
