N	2gram	Medvedev_F	VerxiiNi
1	и в	54	26
2	таким образом	28	22
3	с тем	11	18
4	в этом	39	15
5	вместе с	8	15
6	точки зрения	21	13
7	как бы	10	12
8	в том	17	11
9	не только	14	10
10	из этих	4	10
11	и с	17	10
12	может быть	30	10
13	что в	10	9
14	так как	4	9
15	в области	6	9
16	связи с	12	9
17	но и	18	9
18	но не	5	8
19	с другой	8	8
20	в общем	8	8
21	главным образом	5	8
22	и не	34	8
23	как на	5	8
24	но все	4	7
25	в эпоху	2	7
26	к нему	3	7
27	потому что	2	7
28	одной стороны	5	7
29	из них	5	7
30	то что	14	7
31	с одной	5	7
32	но в	9	7
33	том что	3	7
34	представление о	2	6
35	в отношении	3	6
36	все же	8	6
37	к тому	6	6
38	в себе	4	6
39	в конце	2	6
40	несмотря на	2	6
41	всяком случае	6	6
42	что и	10	6
43	с точки	17	6
44	все эти	12	6
45	все это	11	6
46	и потому	9	6
47	так и	24	6
48	во всяком	6	6
49	никогда не	6	5
50	в мире	4	5
51	одной из	2	5
52	и для	5	5
53	не имеет	2	5
54	более или	7	5
55	так же	5	5
56	и к	7	5
57	отношение к	4	5
58	того чтобы	4	5
59	лишь в	15	5
60	в его	30	5
61	для того	3	5
62	а не	11	5
63	сих пор	7	5
64	до сих	7	5
65	или менее	7	5
66	и от	9	4
67	далеко не	2	4
68	а в	11	4
69	с другими	11	4
70	в котором	2	4
71	в самом	17	4
72	в нем	25	4
73	не может	26	4
74	в смысле	2	4
75	что оно	4	4
76	целый ряд	4	4
77	в виде	2	4
78	то же	16	4
79	должен был	3	4
80	и что	2	4
81	и по	3	4
82	в этих	3	4
83	только в	6	4
84	что он	8	4
85	и только	5	4
86	он не	8	4
87	ничем не	4	4
88	в этой	10	4
89	в то	14	4
90	учение о	4	4
91	на нее	2	3
92	в своем	12	3
93	с самого	2	3
94	если в	3	3
95	или иначе	2	3
96	и если	2	3
97	уже не	9	3
98	хотя бы	10	3
99	к этому	3	3
100	в результате	8	3
101	в которой	5	3
102	в значительной	3	3
103	тем не	2	3
104	и даже	7	3
105	и как	6	3
106	если бы	8	3
107	и те	2	3
108	же как	3	3
109	в других	5	3
110	при этом	14	3
111	конце концов	2	3
112	не менее	12	3
113	по учению	3	3
114	как о	8	3
115	на западе	4	3
116	у них	3	3
117	когда он	3	3
118	в качестве	2	3
119	с этой	4	3
120	в связи	11	3
121	и другие	3	3
122	подойти к	3	3
123	в таком	2	3
124	так что	2	3
125	ясно что	3	3
126	и о	3	3
127	можно сказать	2	3
128	отношению к	4	3
129	к сожалению	2	3
130	в одном	2	3
131	того что	7	3
132	для него	9	3
133	культуры и	3	3
134	мы видели	5	2
135	сказать что	3	2
136	что о	2	2
137	так например	3	2
138	в создании	2	2
139	от них	2	2
140	для этого	6	2
141	в эту	3	2
142	и является	3	2
143	из этого	2	2
144	общего с	2	2
145	и это	4	2
146	не могут	8	2
147	в россии	4	2
148	на то	2	2
149	в самой	2	2
150	для всех	2	2
151	он в	3	2
152	состоит в	3	2
153	в процессе	17	2
154	они в	2	2
155	из этой	2	2
156	между этими	2	2
157	ли они	2	2
158	между тем	4	2
159	особенно в	6	2
160	к его	3	2
161	в свою	8	2
162	при таком	5	2
163	не как	7	2
164	связанных с	2	2
165	не могла	3	2
166	должно было	4	2
167	именно в	12	2
168	конечно не	5	2
169	отличается от	4	2
170	приводит к	4	2
171	требует от	2	2
172	в них	4	2
173	только не	2	2
174	и особенно	3	2
175	и на	10	2
176	в русском	2	2
177	и здесь	8	2
178	и действительно	2	2
179	нее не	2	2
180	еще не	6	2
181	к которому	2	2
182	наконец в	3	2
183	жизни и	10	2
184	иной раз	2	2
185	что именно	2	2
186	не было	7	2
187	превращается в	2	2
188	самого начала	2	2
189	этом отношении	7	2
190	не в	16	2
191	из него	2	2
192	и наконец	7	2
193	то ни	5	2
194	ничего общего	2	2
195	ни было	2	2
196	перестает быть	3	2
197	на все	3	2
198	и все	9	2
199	же время	13	2
200	один из	4	2
201	в виду	2	2
202	со всеми	3	2
203	должна была	2	2
204	не к	2	2
205	быть даже	2	2
206	прежде всего	34	2
207	как от	2	2
208	его не	2	2
209	бы то	4	2
210	или иное	2	2
211	не могло	6	2
212	его от	5	2
213	с его	12	2
214	этими двумя	2	2
215	во всех	9	2
216	и сами	2	2
217	тем и	2	2
218	быть и	5	2
219	не с	2	2
220	по существу	8	2
