N	3gram	Vinokur_Vv	TeoriaLi
1	в том что	15	10
2	по отношению к	4	10
3	в то же	6	8
4	то же время	6	8
5	в отличие от	4	7
6	состоит в том	2	6
7	с другой стороны	5	6
8	так или иначе	4	5
9	в данном случае	4	5
10	для того чтобы	22	5
11	не может быть	10	5
12	и того же	2	4
13	одного и того	2	4
14	с точки зрения	4	3
15	с одной стороны	4	3
16	в этом смысле	10	3
17	тем не менее	9	3
18	подобно тому как	2	3
19	той или иной	3	3
20	можно сказать что	3	3
21	тех или иных	3	3
22	в связи с	2	3
23	в свою очередь	2	3
24	одно и то	2	2
25	и то же	2	2
26	тем или иным	2	2
27	может быть названо	4	2
28	в известном смысле	3	2
29	этой точки зрения	2	2
30	в самом деле	6	2
31	с этой точки	2	2
32	в соответствии с	2	2
33	и в самом	3	2
34	может быть и	2	2
35	сама по себе	3	2
36	не могут быть	2	2
37	но в то	3	2
