N	2gram	Bakhtin_Pr	Komedia
1	и в	64	77
2	и не	55	47
3	в том	12	44
4	том что	8	42
5	т е	44	33
6	о том	5	33
7	но и	26	32
8	может быть	43	30
9	таким образом	15	29
10	из них	3	29
11	в то	15	28
12	и его	21	28
13	в этом	33	27
14	потому что	8	27
15	что он	15	26
16	к тому	4	26
17	не только	26	25
18	тому же	2	25
19	так как	9	24
20	как и	25	23
21	ни в	5	23
22	что в	11	23
23	что и	7	22
24	если бы	12	22
25	в самом	17	22
26	в конце	8	21
27	так и	8	21
28	а в	10	21
29	то же	18	21
30	в его	30	20
31	в этой	5	18
32	и т	14	17
33	тем что	6	17
34	еще не	10	17
35	и здесь	6	17
36	в нем	28	17
37	же время	13	17
38	все же	11	16
39	у него	11	16
40	не менее	3	16
41	при этом	8	16
42	тот же	2	16
43	и сам	6	16
44	сих пор	9	16
45	он не	14	16
46	до сих	9	16
47	его в	8	15
48	в своем	12	15
49	не в	15	15
50	точки зрения	31	15
51	между тем	7	15
52	прежде всего	16	15
53	один из	3	15
54	на себя	4	15
55	было бы	8	15
56	в которой	2	15
57	и на	16	15
58	к нему	11	14
59	все это	9	14
60	об этом	3	14
61	и с	9	14
62	то что	21	13
63	так что	6	13
64	самом деле	10	13
65	но в	14	13
66	того же	3	13
67	в них	5	13
68	того чтобы	2	13
69	что она	7	13
70	в одном	20	13
71	как раз	9	13
72	так же	8	12
73	с другой	7	12
74	т п	10	12
75	уже в	5	12
76	несмотря на	7	12
77	в истории	2	12
78	хотя и	5	12
79	не может	26	12
80	как в	7	12
81	но не	12	12
82	в котором	7	12
83	из которых	3	12
84	нового времени	3	12
85	по отношению	12	11
86	в их	6	11
87	как мы	13	11
88	то время	2	11
89	и даже	5	11
90	на этот	4	11
91	и для	7	11
92	с ним	8	11
93	в отношении	5	10
94	в целом	8	10
95	к себе	6	10
96	отношение к	4	10
97	ничего не	8	10
98	и все	6	10
99	на его	2	10
100	мы не	4	10
101	же в	2	10
102	он был	2	10
103	с его	11	10
104	хоть и	4	10
105	с этим	3	10
106	на него	6	10
107	как бы	33	10
108	и что	5	10
109	отличие от	4	9
110	тому что	3	9
111	однако в	3	9
112	в образе	2	9
113	и особенно	2	9
114	из его	3	9
115	в своей	11	9
116	того как	3	9
117	и еще	2	9
118	отношению к	12	9
119	время как	2	9
120	но все	6	9
121	все что	4	9
122	друг друга	4	9
123	вовсе не	12	9
124	только в	13	9
125	в ней	2	9
126	идет о	5	8
127	и ее	5	8
128	как он	3	8
129	то ни	3	8
130	не знает	6	8
131	то это	3	8
132	связи с	3	8
133	да и	2	8
134	другой стороны	6	8
135	можно было	3	8
136	бы в	7	8
137	с этой	2	8
138	что у	2	8
139	что для	2	8
140	в которых	4	8
141	не было	5	8
142	во всех	4	8
143	вопрос о	3	7
144	до конца	10	7
145	в себе	11	7
146	в другом	3	7
147	и у	3	7
148	со своим	2	7
149	и к	5	7
150	самого начала	2	7
151	и о	7	7
152	в руках	3	7
153	в других	2	7
154	и это	8	7
155	и во	3	7
156	во всяком	7	7
157	бы то	3	7
158	из этих	3	7
159	хотя бы	4	7
160	в результате	7	7
161	целый ряд	2	7
162	ни было	4	7
163	в этих	5	7
164	не имеет	2	7
165	конце концов	7	7
166	для нас	2	7
167	всяком случае	4	7
168	даже в	6	6
169	не хочет	3	6
170	в виду	3	6
171	на вопрос	2	6
172	всего в	2	6
173	могут быть	9	6
174	здесь в	2	6
175	что не	3	6
176	в сущности	10	6
177	и он	5	6
178	тем не	2	6
179	и как	9	6
180	во второй	2	6
181	человека в	8	6
182	как будто	4	6
183	в отличие	4	6
184	в какой	2	6
185	на то	5	6
186	в своих	4	6
187	еще более	2	6
188	с собой	3	6
189	когда он	2	6
190	которую он	3	6
191	в другой	4	6
192	на этом	2	6
193	с точки	21	6
194	или в	7	6
195	а не	29	6
196	не дает	3	6
197	никогда не	11	5
198	и если	2	5
199	ему не	2	5
200	этом отношении	3	5
201	это не	12	5
202	его на	2	5
203	в каждом	15	5
204	в изображении	2	5
205	что из	2	5
206	одним из	7	5
207	и мы	2	5
208	ни одной	2	5
209	одном из	2	5
210	все время	3	5
211	по существу	6	5
212	от них	3	5
213	между собой	2	5
214	же не	4	5
215	из своего	3	5
216	в ее	2	5
217	в первом	2	5
218	сказать что	4	5
219	и от	3	5
220	для этого	3	5
221	что это	2	5
222	себя в	3	5
223	в сознании	3	5
224	в мире	7	5
225	в первой	3	5
226	за пределы	7	5
227	за ним	4	5
228	т д	4	5
229	мира в	5	5
230	к своему	2	5
231	от того	4	5
232	именно в	5	5
233	что я	7	5
234	приводит к	8	5
235	здесь нет	4	5
236	он и	8	5
237	жизни и	3	5
238	от нее	2	5
239	конечно не	4	5
240	друг другу	3	5
241	у меня	6	5
242	той же	8	5
243	тем же	3	5
244	но он	4	5
245	с помощью	2	5
246	чем в	3	5
247	не о	3	4
248	к этим	2	4
249	в построении	4	4
250	или к	3	4
251	в духе	4	4
252	наконец в	4	4
253	видеть в	2	4
254	к которому	2	4
255	не всегда	2	4
256	тем как	5	4
