N	2gram	Propp_Isto	SlovoVZh
1	не может	8	16
2	точки зрения	3	14
3	может быть	22	14
4	и его	10	13
5	как бы	5	13
6	и в	43	12
7	таким образом	15	12
8	отношению к	2	11
9	по отношению	2	11
10	и не	16	10
11	так как	13	9
12	если бы	7	9
13	прежде всего	3	8
14	для нас	6	7
15	сказать что	5	7
16	все время	2	6
17	при этом	4	6
18	в том	13	6
19	в нем	11	6
20	только в	8	6
21	в ней	3	6
22	никогда не	9	5
23	как в	6	5
24	что мы	5	5
25	в жизни	3	5
26	в виду	2	5
27	можно сказать	3	5
28	но в	15	5
29	том что	12	5
30	то же	11	5
31	как и	9	5
32	должна быть	2	5
33	хотя бы	3	5
34	а не	13	5
35	то что	20	5
36	и др	4	5
37	в этом	25	4
38	не только	28	4
39	на самом	2	4
40	что не	3	4
41	его в	7	4
42	жизни и	2	4
43	не в	9	4
44	с другой	10	4
45	все же	13	4
46	к нему	12	4
47	и к	4	4
48	так и	6	4
49	и на	7	4
50	уже не	11	4
51	от того	3	4
52	отношение к	4	4
53	как к	2	3
54	в них	6	3
55	по себе	3	3
56	о том	4	3
57	и для	3	3
58	или не	3	3
59	и герой	3	3
60	да и	2	3
61	он должен	3	3
62	и уже	2	3
63	ни в	2	3
64	все эти	8	3
65	в котором	5	3
66	так же	16	3
67	в своей	4	3
68	мы не	3	3
69	конечно не	3	3
70	в себе	2	3
71	еще не	15	3
72	здесь не	6	3
73	все это	4	3
74	только на	2	3
75	когда он	2	3
76	и ее	3	3
77	в некоторых	9	3
78	между тем	2	3
79	и с	10	3
80	но для	2	3
81	не менее	6	3
82	сих пор	7	3
83	до сих	7	3
84	быть и	3	3
85	в пределах	5	3
86	и по	6	3
87	и пр	19	3
88	того что	8	3
89	тем не	6	3
90	и более	3	3
91	но и	24	3
92	ясно что	2	3
93	в особенности	3	2
94	и то	4	2
95	в его	7	2
96	данном случае	6	2
97	и здесь	8	2
98	что в	29	2
99	стороны и	3	2
100	но тем	2	2
101	не есть	3	2
102	ничего не	12	2
103	как не	2	2
104	но конечно	2	2
105	что и	17	2
106	это не	10	2
107	и все	4	2
108	можно найти	8	2
109	там где	8	2
110	она не	4	2
111	но все	5	2
112	тому же	4	2
113	в своем	2	2
114	на все	2	2
115	дело с	2	2
116	в данном	7	2
117	его к	5	2
118	не отражает	2	2
119	независимо от	3	2
120	из него	3	2
121	мы имеем	24	2
122	и что	6	2
123	в то	2	2
124	те же	2	2
125	с этой	3	2
126	в этих	18	2
127	одной стороны	2	2
128	связь с	12	2
129	и другие	6	2
130	но это	5	2
131	он не	11	2
132	такой же	3	2
133	как только	2	2
134	и потому	2	2
135	имеем в	6	2
136	но не	10	2
137	как это	5	2
138	на это	4	2
139	если же	2	2
140	в себя	3	2
141	героя или	2	2
142	на один	2	2
143	мы можем	10	2
144	могут быть	9	2
145	в чем	4	2
146	между собой	2	2
147	нет ничего	3	2
148	и так	3	2
149	с одной	2	2
150	относится к	3	2
151	к этому	10	2
152	этой стороны	2	2
153	этих двух	2	2
154	но этот	3	2
155	другой стороны	10	2
156	вместе с	12	2
157	на него	4	2
