N	2gram	Savitsky_E	Russkaja
1	не может	9	22
2	и не	14	19
3	в том	11	17
4	в этом	12	17
5	с другом	3	14
6	и в	37	14
7	друг с	3	14
8	то что	6	13
9	точки зрения	23	11
10	то же	15	11
11	таким образом	2	11
12	в то	16	10
13	но и	14	10
14	же время	14	10
15	не только	18	9
16	том что	6	9
17	может быть	6	9
18	в себе	9	9
19	с точки	17	9
20	во всяком	3	9
21	того чтобы	6	8
22	как на	3	8
23	прежде всего	9	8
24	и с	2	7
25	к тому	8	7
26	о том	3	7
27	в данном	3	7
28	мы должны	2	7
29	и если	2	7
30	не будет	3	7
31	отнюдь не	9	7
32	россии в	4	7
33	с тем	3	6
34	если в	2	6
35	и для	3	6
36	в своих	2	6
37	в россии	5	6
38	и к	3	6
39	если бы	2	6
40	всяком случае	3	6
41	для того	6	6
42	в своем	14	6
43	вопрос о	4	5
44	или иной	4	5
45	а в	2	5
46	на то	6	5
47	в последние	6	5
48	было бы	8	5
49	хотя бы	15	5
50	между собой	2	5
51	данного народа	3	5
52	и на	6	5
53	потому что	3	5
54	жизни в	3	5
55	в своей	8	5
56	только в	9	5
57	никогда не	3	5
58	и только	3	5
59	он не	2	5
60	между тем	8	5
61	во всех	6	5
62	и то	2	4
63	что в	21	4
64	но не	5	4
65	не могут	2	4
66	не в	5	4
67	как и	7	4
68	ли это	3	4
69	тому чтобы	2	4
70	в мире	2	4
71	как бы	6	4
72	можно было	3	4
73	так как	7	4
74	тогда когда	2	4
75	что же	2	4
76	жизни и	2	4
77	романо-германцев и	4	4
78	в его	2	4
79	со стороны	5	4
80	в их	11	4
81	то ни	4	4
82	в этой	2	4
83	вместе с	2	4
84	бы то	4	4
85	одной из	5	3
86	данном случае	2	3
87	и этот	2	3
88	в большинстве	2	3
89	что все	2	3
90	что это	2	3
91	и сейчас	2	3
92	культуры в	4	3
93	именно в	4	3
94	только к	2	3
95	не есть	2	3
96	в будущем	3	3
97	и потому	5	3
98	при условии	2	3
99	в значительной	2	3
100	главным образом	2	3
101	из них	3	3
102	но если	5	3
103	в самом	4	3
104	и как	2	3
105	можно ли	3	3
106	россию в	2	3
107	несмотря на	4	3
108	для них	2	3
109	что и	3	3
110	или в	2	3
111	он сам	2	3
112	и во	2	3
113	той или	4	3
114	и по	5	3
115	в виде	5	3
116	того что	7	3
117	в качестве	14	3
118	тем что	3	3
119	россии и	3	3
120	то в	4	3
121	в течение	5	2
122	и от	3	2
123	не к	2	2
124	с этим	2	2
125	тем самым	5	2
126	или иного	4	2
127	в культурном	3	2
128	большинстве случаев	3	2
129	ее в	3	2
130	к нему	2	2
131	помнить что	2	2
132	она не	2	2
133	из всех	3	2
134	но в	14	2
135	европейской культуры	3	2
136	того или	4	2
137	этой культуры	2	2
138	в котором	2	2
139	так же	9	2
140	на себя	3	2
141	от друга	2	2
142	в ней	4	2
143	время в	3	2
144	этот вопрос	2	2
145	в некоторых	2	2
146	в результате	3	2
147	но даже	4	2
148	то которое	2	2
149	европейской цивилизации	4	2
150	отношении к	15	2
151	в силу	2	2
152	и даже	6	2
153	а не	2	2
154	для нас	4	2
155	россии к	3	2
156	по себе	4	2
157	в порядке	2	2
158	мы можем	3	2
159	не можем	2	2
160	целый ряд	2	2
161	место в	3	2
162	отметить что	3	2
163	в других	2	2
164	и тем	3	2
165	культуры с	2	2
166	и что	2	2
167	бы ни	3	2
168	и наконец	2	2
169	совершенно очевидно	2	2
170	культурной жизни	4	2
171	в этих	2	2
172	культуру в	2	2
173	друг от	2	2
174	в частности	5	2
175	в таком	3	2
176	как будто	2	2
177	народов и	3	2
178	на основании	2	2
179	во многих	4	2
180	должна быть	2	2
181	в области	11	2
182	к той	2	2
183	культуры и	2	2
184	будет ли	2	2
185	и более	2	2
186	участие в	2	2
