N	3gram	Tiupa_Narr	Istorich
1	до сих пор	3	30
2	с одной стороны	5	28
3	в том что	11	25
4	не может быть	6	24
5	тем не менее	6	23
6	точно так же	2	22
7	о том что	3	22
8	не только в	12	19
9	в связи с	3	17
10	в данном случае	12	15
11	по отношению к	5	14
12	на то что	2	14
13	но и в	4	12
14	более или менее	2	9
15	то же самое	3	8
16	подобно тому как	4	8
17	в зависимости от	3	8
18	что у него	2	8
19	во всяком случае	2	7
20	к тому же	8	6
21	для того чтобы	4	5
22	что это за	2	5
23	в отличие от	6	5
24	состоит в том	5	4
25	можно сказать что	5	4
26	с точки зрения	2	4
27	сами по себе	2	4
28	не только на	2	4
29	друг на друга	2	4
30	и то же	2	3
31	из этих двух	2	3
32	не только не	2	3
33	дело в том	2	3
34	не могло быть	2	3
35	при встрече с	3	3
36	дело не только	2	3
37	в соответствии с	7	3
38	но и на	2	3
39	в ответ на	3	3
40	к тому что	4	3
41	и тем самым	6	3
42	внимание на то	2	3
43	в том как	2	2
44	в самом деле	3	2
45	имеем дело с	4	2
46	в этом и	3	2
47	на другой день	4	2
48	хотя и не	2	2
49	и не может	3	2
50	они и не	2	2
51	как если бы	2	2
52	к себе и	2	2
53	и т п	2	2
54	тогда как в	2	2
55	одно и то	2	2
56	на то чтобы	2	2
57	в частности в	2	2
58	в свою очередь	2	2
59	мы имеем дело	4	2
60	обращает на себя	3	2
61	а в том	2	2
