N	2gram	Losev_Prob	Sotsiolo
1	все это	11	7
2	в том	19	5
3	в этом	30	5
4	для нас	11	3
5	как же	6	3
6	не только	37	3
7	и только	7	3
8	в его	12	3
9	но ведь	6	3
10	не в	6	3
11	и в	64	3
12	литературы и	5	2
13	должна быть	2	2
14	еще не	18	2
15	только в	19	2
16	что в	21	2
17	тем более	13	2
18	в частности	5	2
19	том что	26	2
20	было бы	16	2
21	таким образом	9	2
22	в смысле	2	2
23	то же	10	2
24	только как	2	2
25	как будто	6	2
26	и что	21	2
27	конце концов	11	2
28	как только	3	2
29	то что	72	2
30	и заключается	2	2
31	как бы	18	2
32	но и	23	2
33	в конце	13	2
34	за пределы	6	2
35	или даже	3	2
36	далеко не	9	2
37	может быть	29	2
38	по существу	2	2
39	в результате	6	2
40	ведь это	4	2
