N	3gram	Trubetskoy	FransuaR
1	в то же	10	55
2	то же время	10	55
3	до сих пор	5	27
4	в том что	7	27
5	в большинстве случаев	2	22
6	с точки зрения	9	20
7	для того чтобы	6	17
8	о том что	2	17
9	на самом деле	6	13
10	не может быть	4	13
11	той или иной	3	10
12	в конце концов	3	10
13	в данном случае	3	10
14	более или менее	4	8
15	в настоящее время	2	7
16	можно было бы	3	7
17	в значительной мере	2	7
18	во всяком случае	6	5
19	друг с другом	14	5
20	а следовательно и	2	4
21	и не может	3	4
22	и то что	3	4
23	бы то ни	4	3
24	вместе с тем	3	3
25	и в том	2	3
26	в себе и	2	3
27	друг от друга	2	3
28	с самим собой	2	2
29	в этом случае	3	2
30	они принадлежат к	2	2
31	и вместе с	2	2
32	быть самим собой	4	2
33	и в другом	2	2
34	в другом случае	2	2
