N	3gram	Tiupa_Vved	Analitik
1	в том что	10	25
2	не может быть	6	19
3	по отношению к	11	18
4	в то же	5	16
5	о том что	6	15
6	той или иной	4	14
7	в данном случае	15	14
8	то же время	4	14
9	в отличие от	11	14
10	к тому же	6	13
11	в конечном счете	2	11
12	мы имеем дело	5	11
13	так и не	4	10
14	подобно тому как	3	9
15	с одной стороны	9	9
16	с другой стороны	2	9
17	в свою очередь	5	9
18	в том чтобы	2	9
19	в этом отношении	7	8
20	не только в	3	8
21	как и в	2	8
22	присутствия в мире	2	8
23	состоит в том	2	8
24	во всяком случае	3	7
25	тем не менее	3	6
26	по природе своей	2	6
27	но и в	3	5
28	в этом ряду	2	5
29	имеем дело с	4	5
30	не сводится к	6	4
31	в самом деле	2	4
32	не в том	3	4
33	в соответствии с	8	4
34	и тем самым	2	4
35	в основе своей	2	4
36	едва ли не	2	4
37	в значительной степени	2	4
38	в нашем случае	3	4
39	и представляет собой	4	4
40	в противном случае	2	3
41	то же самое	2	3
42	речь идет о	3	3
43	и все же	6	3
44	тогда как в	2	3
45	по этой причине	2	3
46	а в том	3	3
47	не все что	2	2
48	что же касается	2	2
49	более или менее	2	2
50	а с другой	3	2
51	в войне и	2	2
52	по своей природе	2	2
53	в той мере	2	2
54	той мере в	2	2
55	можно было бы	2	2
56	тому или иному	2	2
57	как правило не	2	2
58	в частности в	2	2
59	это своего рода	3	2
60	мере в какой	2	2
61	с легкой руки	2	2
62	войне и мире	2	2
63	в этих случаях	2	2
64	не столько в	2	2
65	обратим внимание на	2	2
66	на первый взгляд	3	2
67	событие самого рассказывания	2	2
68	на то что	2	2
