N	3gram	Voloshinov	SlovoVZh
1	по отношению к	9	11
2	не может быть	23	7
3	можно сказать что	4	5
4	так как если	2	4
5	в том что	9	4
6	как если бы	6	4
7	то ни было	11	3
8	бы то ни	11	3
9	тем не менее	3	3
10	может быть и	8	3
11	и не в	3	3
12	до сих пор	10	3
13	и не может	11	3
14	же самое справедливо	2	2
15	самое справедливо и	2	2
16	на самом деле	5	2
17	одно и то	3	2
18	в зависимости от	2	2
19	с другой стороны	6	2
20	и то же	3	2
21	в настоящее время	6	2
22	с точки зрения	31	2
23	мы можем сказать	2	2
24	до известной степени	2	2
25	выходят за пределы	3	2
26	в отношении к	7	2
27	то же самое	8	2
28	в какой степени	2	2
29	на материале слова	4	2
30	с одной стороны	2	2
31	только в процессе	3	2
