N	3gram	Bakhtin_Fr	RusskieA
1	в том что	6	49
2	о том что	3	10
3	и в других	2	9
4	для того чтобы	2	8
5	подобно тому как	2	8
6	в это время	2	6
7	как мы видели	2	6
8	не может быть	5	6
9	на новый год	2	5
10	во всяком случае	2	4
11	как мы уже	8	4
12	в отличие от	4	4
13	еще далеко не	2	3
14	на самом же	3	3
15	по отношению к	2	3
16	с точки зрения	6	3
17	и в том	2	3
18	самом же деле	3	3
19	до сих пор	7	3
20	в своей книге	3	3
21	на самом деле	2	2
22	можно сказать что	3	2
23	в этом отношении	5	2
24	в большинстве случаев	2	2
25	не только в	5	2
26	во всех этих	2	2
27	друг с другом	2	2
28	с одной стороны	2	2
29	но и на	2	2
30	но все же	3	2
