N	2gram	Potebnia_M	RusskieA
1	и в	48	79
2	в том	47	64
3	том что	28	59
4	что в	30	57
5	не только	32	41
6	а а	2	40
7	во время	4	38
8	так как	20	34
9	в этом	19	33
10	как бы	10	31
11	но и	30	31
12	в других	3	30
13	как и	22	28
14	может быть	46	28
15	и на	5	28
16	и т	12	23
17	о том	7	23
18	с в	4	23
19	при этом	6	22
20	т д	5	21
21	это не	2	20
22	как мы	8	20
23	а в	14	20
24	там же	8	20
25	из них	11	19
26	все это	4	18
27	с тем	9	17
28	потому что	82	17
29	показывает что	2	17
30	то что	37	17
31	об этом	4	17
32	таким образом	24	17
33	вместе с	22	17
34	мы не	17	16
35	во многих	3	16
36	один из	7	15
37	или на	2	15
38	у нас	2	14
39	мы видели	5	14
40	для нас	40	14
41	не менее	9	14
42	в них	9	14
43	тем не	7	14
44	и не	28	14
45	и с	4	14
46	и что	13	14
47	так что	14	13
48	и по	5	13
49	к этому	3	13
50	не может	18	13
51	еще не	9	13
52	как в	17	13
53	уже не	11	13
54	в которых	5	13
55	в виде	3	12
56	этом случае	2	12
57	тем что	13	12
58	что на	3	11
59	но это	9	11
60	не имеет	10	11
61	далеко не	5	11
62	его в	6	10
63	и других	3	10
64	так и	17	10
65	так например	3	10
66	между тем	19	10
67	все же	3	10
68	что и	16	10
69	в течение	2	10
70	том чтобы	4	10
71	или в	4	10
72	данном случае	3	9
73	том же	2	9
74	но в	8	9
75	и все	5	9
76	что они	2	9
77	того как	10	9
78	то же	35	9
79	но не	8	9
80	видно что	4	9
81	так же	6	8
82	того что	24	8
83	одно из	6	8
84	в данном	3	8
85	того чтобы	5	8
86	их в	3	8
87	же в	3	8
88	связи с	6	8
89	что это	6	8
90	как например	2	8
91	не все	5	8
92	подобно тому	3	8
93	ее в	2	8
94	для того	8	8
95	в этих	2	8
96	что по	4	8
97	тому как	6	8
98	в своем	6	7
99	мы должны	6	7
100	а и	5	7
101	не в	24	7
102	а с	4	7
103	к нему	7	7
104	предположить что	4	7
105	по этому	2	7
106	на них	2	7
107	было бы	16	7
108	из этих	10	7
109	в это	2	7
110	и как	8	7
111	не можем	8	7
112	только в	29	7
113	а не	22	7
114	в этой	3	6
115	как знак	2	6
116	должно было	2	6
117	и их	4	6
118	друг друга	6	6
119	в их	2	6
120	не всегда	5	6
121	только на	4	6
122	тому что	6	6
123	она не	4	6
124	к тому	9	6
125	что этот	2	6
126	в нем	16	6
127	так в	4	6
128	с ними	6	6
129	чем в	2	6
