N	2gram	Vygotskiy_	VrazhdaK
1	не только	36	9
2	и что	14	8
3	в этом	47	8
4	и в	47	8
5	что в	23	7
6	но и	19	7
7	и все	5	7
8	то что	40	7
9	но в	9	6
10	как и	19	6
11	в котором	6	6
12	в начале	6	6
13	в нем	6	6
14	и с	5	6
15	все же	7	6
16	и даже	3	6
17	и не	27	5
18	об этом	4	5
19	то же	16	5
20	в то	10	5
21	у него	2	5
22	между тем	2	5
23	для нас	4	4
24	уже в	3	4
25	целый ряд	6	4
26	несмотря на	2	4
27	в своих	2	4
28	это не	6	4
29	в виду	5	4
30	все это	5	4
31	при этом	4	4
32	о том	5	4
33	в ней	5	4
34	как бы	13	4
35	так же	26	4
36	что он	13	4
37	с ним	5	4
38	может быть	20	4
39	в том	38	3
40	в чем	5	3
41	одним из	3	3
42	его в	7	3
43	что у	4	3
44	и во	5	3
45	в своем	3	3
46	том что	28	3
47	в его	7	3
48	и о	4	3
49	раз в	4	3
50	и его	14	3
51	и как	7	3
52	в этот	3	3
53	он не	5	3
54	связи с	4	3
55	к этому	2	3
56	но он	3	3
57	на то	5	3
58	я не	3	3
59	что есть	2	3
60	наряду с	2	3
61	в конце	5	3
62	тем что	14	3
63	никогда не	7	2
64	в одну	2	2
65	и то	10	2
66	в них	3	2
67	одна из	2	2
68	в той	7	2
69	для него	6	2
70	и это	2	2
71	с точки	31	2
72	мы знаем	5	2
73	а в	3	2
74	он сам	2	2
75	в этой	7	2
76	столь же	2	2
77	том же	7	2
78	его с	3	2
79	в нашей	4	2
80	в своей	4	2
81	как раз	6	2
82	но как	3	2
83	и он	4	2
84	в себе	14	2
85	еще не	5	2
86	точки зрения	39	2
87	о чем	8	2
88	же как	14	2
89	это в	2	2
90	таким образом	38	2
91	и ее	3	2
92	во время	2	2
93	в период	2	2
94	в момент	4	2
95	его и	2	2
96	отношения к	5	2
97	в свою	3	2
98	их в	2	2
99	о которой	2	2
100	рядом с	2	2
101	не может	23	2
102	из них	2	2
103	ответ на	3	2
104	не менее	6	2
105	сказал он	2	2
106	но это	4	2
107	отнюдь не	2	2
108	а с	3	2
109	не мог	2	2
110	на основе	5	2
111	могли быть	2	2
112	вместе с	19	2
113	в известном	2	2
114	отношение к	8	2
