N	2gram	Tiupa_Hudo	VeschiIm
1	т е	6	81
2	и не	15	57
3	не только	22	48
4	то что	13	48
5	не может	10	46
6	и в	34	45
7	может быть	12	39
8	и т	15	39
9	т д	5	38
10	а не	23	37
11	что я	4	26
12	потому что	7	25
13	было бы	8	24
14	в себе	19	23
15	что она	10	23
16	по себе	3	23
17	только в	8	23
18	сказать что	3	22
19	и что	3	22
20	как бы	11	20
21	и ее	3	19
22	с нею	2	19
23	что это	2	19
24	но и	13	19
25	что же	4	19
26	все же	5	18
27	в этом	22	18
28	и это	7	17
29	прежде всего	12	17
30	так как	2	17
31	того что	5	16
32	как раз	7	16
33	в том	24	15
34	как и	16	15
35	в ней	6	15
36	уже не	12	15
37	не в	16	14
38	и то	2	14
39	но это	2	14
40	том что	31	13
41	а и	2	13
42	есть и	3	13
43	это и	2	13
44	и для	5	13
45	в самом	7	13
46	то ни	2	13
47	в себя	3	13
48	ничего не	11	12
49	что в	8	12
50	точки зрения	7	12
51	что и	3	12
52	что они	4	12
53	то же	14	12
54	еще не	10	12
55	и даже	4	12
56	о том	21	12
57	и с	10	12
58	еще и	2	11
59	в то	12	11
60	не менее	9	11
61	что не	4	11
62	вовсе не	2	11
63	содержит в	2	11
64	себя в	11	11
65	тем не	7	11
66	ни в	5	11
67	и только	2	11
68	с ее	7	10
69	ясно что	2	10
70	это не	12	9
71	со стороны	6	9
72	так что	3	9
73	в своем	9	9
74	то и	5	9
75	она не	6	9
76	бы и	2	9
77	должно быть	2	9
78	хотя бы	2	9
79	бы в	2	9
80	в результате	2	9
81	я и	7	9
82	на то	4	9
83	но не	7	9
84	ни с	2	9
85	говорить о	4	9
86	и его	8	9
87	с ним	6	9
88	его в	5	8
89	и потому	3	8
90	что он	14	8
91	но в	6	8
92	в ее	16	8
93	мы не	2	8
94	себя и	4	8
95	все это	2	8
96	можно сказать	9	8
97	с другими	2	8
98	если бы	7	8
99	для него	15	8
100	не с	2	8
101	с другой	4	8
102	со своим	5	8
103	отнюдь не	4	8
104	в действительности	5	7
105	и тем	2	7
106	из них	5	7
107	самом деле	6	7
108	а в	11	7
109	все эти	4	7
110	в сущности	2	7
111	я не	8	7
112	никак не	3	7
113	или не	3	7
114	тем что	6	7
115	с этой	3	7
116	ни на	2	7
117	и тогда	2	7
118	никогда не	8	6
119	вопрос о	2	6
120	для себя	9	6
121	когда мы	2	6
122	и все	10	6
123	так или	3	6
124	в нем	5	6
125	между ними	2	6
126	в своей	15	6
127	как мы	5	6
128	одна из	4	6
129	в данном	3	6
130	можно было	6	6
131	бытия и	4	6
132	дело в	2	6
133	и другое	2	6
134	все равно	2	6
135	быть только	2	6
136	или иначе	3	6
137	в сфере	2	6
138	их в	2	6
139	несмотря на	7	6
140	жизни и	10	6
141	с точки	5	6
142	как только	3	6
143	в одном	3	6
144	да и	5	5
145	как к	4	5
146	ничем не	3	5
147	вместе с	2	5
148	себе в	2	5
149	как это	8	5
150	на себе	3	5
151	один из	6	5
152	на себя	3	5
153	в его	17	5
154	и когда	4	5
155	хотя и	3	5
156	на это	2	5
157	же это	2	5
158	во всех	2	5
159	в которой	2	5
160	мысли и	2	5
161	об этом	8	5
162	себя с	3	5
163	как о	3	5
164	в жизни	9	5
165	нет и	2	5
166	подобно тому	4	5
167	что у	4	5
168	все что	4	5
169	в настоящем	2	5
170	только не	3	5
171	как она	3	5
172	тому как	4	5
173	чем же	2	5
174	о них	4	4
175	так же	3	4
176	и сама	3	4
177	том как	5	4
178	она может	2	4
179	к себе	8	4
180	в силу	2	4
181	в конце	5	4
182	отношение к	3	4
183	и у	3	4
184	в их	2	4
185	так и	19	4
186	что все	3	4
187	в этой	11	4
188	же не	3	4
189	того чтобы	6	4
190	в качестве	13	4
191	не было	8	4
192	нельзя было	2	4
193	с ними	3	4
194	в основе	3	4
195	и от	6	4
196	то в	6	4
197	с этим	3	4
198	дело не	2	4
199	и эта	3	4
200	с самим	2	4
201	к ней	2	4
202	на него	3	4
203	по своей	5	4
204	его и	2	4
205	и о	8	4
206	и более	2	4
207	в котором	5	4
208	это так	3	4
209	на этом	5	4
210	сводится к	7	4
211	говорит о	4	4
212	же время	11	4
213	он не	8	4
214	и сам	3	4
215	о которой	3	4
216	ему не	3	3
217	перед нами	13	3
218	а вот	2	3
219	но как	3	3
220	человека и	4	3
221	я сам	2	3
222	в другом	3	3
223	и а	7	3
224	казалось бы	12	3
225	но именно	3	3
226	ни о	3	3
227	в виде	2	3
228	только на	6	3
229	в частности	10	3
230	может и	3	3
231	на ее	3	3
232	а с	5	3
233	бы на	2	3
234	к нему	2	3
235	к тому	11	3
236	ли в	2	3
237	а только	4	3
238	была бы	3	3
239	одной стороны	4	3
240	быть может	7	3
241	в целом	2	3
242	же как	4	3
243	тогда как	10	3
244	все еще	3	3
245	не все	2	3
246	к личности	2	3
247	могла бы	2	3
248	ту или	2	3
249	от этого	2	3
250	не нужно	3	3
251	то чтобы	2	3
252	я это	2	3
253	только что	4	3
254	превращается в	6	3
255	жизни в	12	3
256	для того	3	3
257	как в	11	3
