N	2gram	Voloshinov	slovoVRo
1	и в	42	92
2	то есть	5	64
3	в нем	6	59
4	может быть	13	59
5	и его	7	59
6	и не	14	51
7	не только	28	44
8	не может	13	41
9	но и	16	39
10	до конца	2	37
11	в этом	10	36
12	а не	7	34
13	во всех	6	32
14	так и	7	30
15	точки зрения	11	30
16	языка и	4	29
17	в пределах	2	29
18	в его	6	27
19	слова в	6	26
20	все это	4	25
21	языка в	2	25
22	слово в	2	24
23	слова и	5	24
24	как бы	30	24
25	то же	16	23
26	и на	7	22
27	не в	6	21
28	как в	3	21
29	вовсе не	2	21
30	в то	9	20
31	в процессе	6	20
32	прежде всего	22	19
33	как мы	10	19
34	или иной	6	18
35	как и	12	18
36	язык и	9	18
37	себя в	4	18
38	же время	7	18
39	с ним	2	18
40	все же	9	17
41	все эти	3	17
42	в основе	3	17
43	и даже	3	17
44	таким образом	8	17
45	к своему	4	16
46	при этом	9	16
47	но в	5	16
48	той или	4	15
49	и с	5	15
50	в той	5	15
51	с точки	5	15
52	так сказать	4	14
53	только в	7	14
54	это не	3	13
55	и следовательно	5	13
56	точка зрения	4	13
57	с его	8	13
58	и для	3	13
59	в слове	4	13
60	никогда не	7	12
61	в отношении	2	12
62	и потому	2	12
63	отношение к	2	12
64	а в	5	12
65	или в	2	12
66	словом и	3	12
67	и наконец	5	12
68	еще не	3	12
69	слово как	8	12
70	точек зрения	5	12
71	и к	4	12
72	один из	4	11
73	на его	6	11
74	слова как	4	11
75	в этих	2	11
76	язык в	6	11
77	всех его	2	11
78	для него	3	11
79	и их	5	10
80	в том	3	10
81	и все	4	10
82	в себе	10	10
83	с другими	2	10
84	в него	2	10
85	лишь в	4	10
86	в языке	2	10
87	уже не	4	10
88	зрения на	3	10
89	его в	4	9
90	и от	7	9
91	к нему	2	9
92	в их	2	9
93	в своей	2	9
94	этом случае	3	9
95	сказать что	3	9
96	так как	8	9
97	языком и	3	9
98	но не	2	9
99	конечно не	3	9
100	он не	2	9
101	язык не	3	8
102	человека и	2	8
103	может стать	3	8
104	в зависимости	7	8
105	в ней	8	8
106	все время	5	8
107	с этим	2	8
108	в значительной	2	8
109	зависимости от	7	8
110	человека в	2	8
111	в самом	5	8
112	для нас	3	8
113	перед нами	3	7
114	том что	3	7
115	друг друга	2	7
