N	2gram	Losev_Vesc	VrazhdaK
1	не только	48	9
2	и что	22	8
3	в этом	17	8
4	и в	44	8
5	что в	11	7
6	но и	19	7
7	и все	6	7
8	то что	47	7
9	но в	8	6
10	как и	15	6
11	– это	4	6
12	в котором	4	6
13	в нем	6	6
14	и с	11	6
15	все же	18	6
16	и даже	12	6
17	и не	57	5
18	не было	4	5
19	об этом	5	5
20	в россии	2	5
21	то же	12	5
22	в то	11	5
23	же время	4	5
24	у него	3	5
25	для нас	2	4
26	уже в	2	4
27	несмотря на	6	4
28	в своих	3	4
29	это не	9	4
30	в виду	2	4
31	все это	7	4
32	о том	11	4
33	в ней	14	4
34	как бы	19	4
35	так же	4	4
36	что он	7	4
37	в истории	3	4
38	с ним	8	4
39	может быть	37	4
40	т е	79	3
41	и у	4	3
42	в том	15	3
43	в чем	10	3
44	его в	8	3
45	далеко не	2	3
46	что у	5	3
47	и уже	2	3
48	и во	3	3
49	в своем	9	3
50	том что	13	3
51	в его	5	3
52	и о	4	3
53	раз в	2	3
54	и его	4	3
55	и как	12	3
56	он не	4	3
57	к этому	2	3
58	но он	2	3
59	на то	9	3
60	я не	7	3
61	что есть	8	3
62	наряду с	2	3
63	в конце	3	3
64	с его	2	3
65	тем что	7	3
66	никогда не	5	2
67	в одну	2	2
68	же не	4	2
69	с нею	19	2
70	и то	14	2
71	уже не	15	2
72	одна из	6	2
73	в той	6	2
74	для него	8	2
75	при помощи	4	2
76	и это	17	2
77	в в	2	2
78	с точки	6	2
79	как же	6	2
80	а в	6	2
81	он сам	2	2
82	в этой	4	2
83	тогда как	3	2
84	в своей	6	2
85	как раз	16	2
86	мне и	2	2
87	но как	3	2
88	в себе	23	2
89	еще не	12	2
90	и а	3	2
91	точки зрения	10	2
92	о чем	2	2
93	же как	3	2
94	тем более	3	2
95	таким образом	16	2
96	и ее	19	2
97	что я	26	2
98	его и	4	2
99	отношения к	3	2
100	в свою	5	2
101	на это	5	2
102	их в	6	2
103	о которой	3	2
104	не может	44	2
105	очень хорошо	2	2
106	из них	7	2
107	в это	2	2
108	не менее	11	2
109	его на	4	2
110	но это	14	2
111	к себе	4	2
112	отнюдь не	8	2
113	а с	3	2
114	не мог	3	2
115	вместе с	4	2
116	об их	3	2
117	отношение к	4	2
