N	2gram	Tiupa_Narr	Problemy
1	и в	22	106
2	и не	34	90
3	как бы	11	70
4	может быть	24	66
5	в его	12	56
6	в этом	23	52
7	в нем	9	51
8	не может	16	49
9	что он	7	44
10	как и	15	44
11	но и	39	40
12	точки зрения	8	40
13	для него	8	39
14	и его	12	39
15	а не	27	38
16	о себе	2	37
17	не только	50	36
18	то же	12	36
19	в пределах	2	35
20	то что	14	33
21	но в	10	33
22	прежде всего	7	32
23	чужого слова	4	29
24	в то	9	29
25	он не	8	29
26	и все	7	28
27	не в	12	27
28	в одном	5	27
29	к другому	2	27
30	к себе	11	26
31	же время	7	26
32	к нему	5	25
33	в сущности	2	25
34	с точки	2	25
35	и т	3	25
36	в самом	8	25
37	и с	3	25
38	себе самому	5	25
39	самом деле	4	24
40	героя и	4	24
41	вовсе не	2	24
42	и на	5	23
43	таким образом	5	22
44	что я	4	22
45	по себе	4	22
46	как мы	3	21
47	никогда не	8	20
48	все же	10	20
49	потому что	7	20
50	только в	23	20
51	что в	6	19
52	с его	6	19
53	отношению к	5	19
54	слова в	4	19
55	в себе	14	18
56	по отношению	5	18
57	т п	2	18
58	о нем	5	18
59	все эти	3	18
60	уже не	11	18
61	еще не	6	18
62	но не	7	18
63	это не	6	17
64	в том	20	17
65	так и	12	17
66	себе самом	2	17
67	а в	19	17
68	и к	7	17
69	с ним	6	17
70	так же	2	16
71	в другом	5	16
72	если бы	9	16
73	в своей	8	16
74	до конца	2	15
75	и наконец	2	15
76	и для	4	15
77	у него	13	15
78	другого человека	2	14
79	в своем	7	14
80	в конце	4	14
81	я не	5	14
82	лишь в	3	14
83	и сам	4	14
84	с другим	2	14
85	он и	2	14
86	как раз	9	14
87	а как	2	14
88	перед нами	9	13
89	героя в	6	13
90	достоевского и	2	13
91	в романе	3	13
92	в целом	5	13
93	в мире	8	13
94	на него	4	13
95	точка зрения	5	13
96	том что	15	12
97	ничего не	8	12
98	к тому	13	12
99	между тем	5	12
100	не знает	2	12
101	что и	3	12
102	при этом	31	12
103	было бы	2	12
104	во всяком	2	12
105	одного сознания	2	12
106	так сказать	4	12
107	но это	2	12
108	и даже	4	12
109	и как	4	12
110	как в	9	12
111	себе и	2	12
112	в котором	3	12
113	у меня	2	12
114	в форме	7	11
115	она не	2	11
116	ни одного	2	11
117	он сам	4	11
118	рассказа в	5	11
119	бы в	2	11
120	сознания и	2	11
121	с другой	6	11
122	их в	4	11
123	входит в	2	11
124	как будто	4	11
125	в произведении	2	10
126	отношение к	2	10
127	для себя	3	10
128	в него	2	10
129	что не	2	10
130	я сам	2	10
131	до сих	3	10
132	сих пор	3	10
133	далеко не	6	10
134	приводит к	2	10
135	той же	2	10
136	в слове	4	10
137	и потому	2	9
138	или в	7	9
139	самим собой	3	9
140	в единство	2	9
141	раз и	2	9
142	хотя и	8	9
143	да и	5	9
144	другой стороны	2	9
145	хотя бы	4	9
146	человека в	2	9
147	что у	6	9
148	точек зрения	2	9
149	зрения на	2	9
150	всяком случае	2	9
151	в той	4	9
152	но он	2	9
153	но как	3	8
154	никак не	5	8
155	как к	3	8
156	в произведениях	3	8
157	одним из	2	8
158	это и	2	8
159	и о	4	8
160	того что	7	8
161	здесь не	4	8
162	к герою	2	8
163	с ними	5	8
164	должна быть	2	8
165	и от	3	8
166	что это	4	8
167	все время	2	8
168	и он	8	8
169	в человеке	2	8
170	в результате	4	8
171	о том	5	8
172	и у	4	8
173	из них	4	8
174	не о	2	7
175	в этих	3	7
176	в виде	2	7
177	к своему	2	7
178	точку зрения	3	7
179	в виду	2	7
180	его и	2	7
181	в процессе	2	7
182	все его	4	7
183	только на	4	7
184	мира и	2	7
185	между ними	3	7
186	героя с	2	7
187	и ее	3	7
188	все равно	2	7
189	например в	2	7
190	сказать что	5	7
191	в жизни	9	7
192	что она	3	7
193	во всех	2	7
194	на этот	2	7
195	автора и	2	7
196	если же	2	7
197	не было	3	7
198	в себя	3	7
199	идет о	3	6
200	героя но	3	6
201	как он	3	6
202	отличие от	6	6
203	а с	2	6
204	не менее	6	6
205	у тургенева	2	6
206	себя в	4	6
207	во время	2	6
208	о герое	3	6
209	и здесь	3	6
210	но зато	4	6
211	одна из	5	6
212	в начале	4	6
213	можно было	2	6
214	зависимости от	3	6
215	внутренней речи	3	6
216	превращается в	2	6
217	и вот	2	6
218	человека как	2	6
219	человек и	2	6
220	но для	5	6
221	друг друга	2	6
222	в отличие	6	6
223	и только	2	6
224	в этой	8	6
225	на то	4	6
226	я в	7	6
227	в своих	2	6
228	жизни и	7	6
229	как на	2	6
230	на фоне	2	6
231	не мог	7	6
232	слов в	2	5
233	и то	3	5
234	или иной	6	5
235	для других	3	5
236	но именно	3	5
237	со всеми	3	5
238	по своему	3	5
239	для другого	2	5
240	тому что	4	5
241	они не	3	5
242	того же	2	5
243	на себя	5	5
244	в чем	3	5
245	однако в	4	5
246	один из	8	5
247	что может	2	5
248	в зависимости	3	5
249	мы не	5	5
250	и самого	3	5
251	той или	7	5
252	в ее	4	5
253	но при	5	5
254	его как	2	5
255	обращено к	2	5
256	то есть	15	5
257	мира в	4	5
258	по своим	2	5
259	та же	2	5
260	в речи	5	5
261	на протяжении	12	5
262	подобно тому	4	5
263	тому же	9	5
264	мир и	2	5
265	о своей	3	5
266	именно в	5	5
267	это он	2	5
268	как можно	2	5
269	не могу	2	5
270	тому как	4	5
271	с собой	2	5
272	быть и	3	5
273	в ней	5	5
274	вместе с	3	5
275	тем не	7	4
276	в направлении	2	4
277	и лишь	2	4
278	при всей	5	4
