N	3gram	Propp_Russ	KulturaY
1	и т д	12	42
2	для того чтобы	6	38
3	с точки зрения	3	36
4	в том что	27	33
5	можно было бы	2	25
6	тем не менее	3	19
7	в том чтобы	2	14
8	в связи с	4	12
9	о том что	6	10
10	вместе с тем	10	9
11	в этом случае	9	8
12	после того как	3	7
13	в свою очередь	2	7
14	только тогда когда	3	6
15	в отличие от	4	6
16	но все же	2	5
17	т е в	6	5
18	потому что он	2	5
19	в данном случае	7	5
20	и в этом	2	5
21	и потому что	2	4
22	т е на	2	4
23	так же как	5	4
24	к тому что	4	4
25	на то что	2	4
26	состоит в том	16	4
27	в тех случаях	2	3
28	на себя внимание	2	3
29	в настоящее время	3	3
30	в то время	3	3
31	тех случаях когда	2	3
32	не что иное	3	2
33	для этой цели	2	2
34	в большинстве случаев	2	2
35	может быть и	3	2
36	это не значит	2	2
37	иметь в виду	2	2
38	что иное как	3	2
39	и в других	7	2
40	и в том	2	2
41	к этому же	3	2
