N	2gram	Tiupa_Vved	Sovremen
1	не может	14	17
2	может быть	25	12
3	таким образом	6	11
4	мы не	6	9
5	не можем	2	7
6	и в	23	7
7	в этом	27	7
8	и не	24	6
9	ничего не	3	6
10	как и	21	6
11	в результате	5	6
12	мы можем	2	6
13	что же	6	5
14	и наконец	2	5
15	прежде всего	11	5
16	мы видели	3	4
17	это не	7	4
18	не только	32	4
19	в том	21	4
20	как бы	8	4
21	их в	3	4
22	точку зрения	2	4
23	в целом	4	4
24	жизни и	8	4
25	вместе с	2	4
26	а в	15	4
27	для нас	4	3
28	не подлежит	2	3
29	и т.д	6	3
30	и потому	2	3
31	но в	14	3
32	при этом	43	3
33	не в	12	3
34	все же	10	3
35	как он	2	3
36	было бы	4	3
37	в области	5	3
38	уже в	2	3
39	в себе	15	3
40	еще не	8	3
41	одна из	5	3
42	у нас	4	3
43	и все	8	3
44	все это	3	3
45	в нем	9	3
46	между собой	2	3
47	а не	31	3
48	в первом	3	3
49	и к	2	3
50	что она	2	3
51	в этой	2	3
52	при таком	2	3
53	то же	8	3
54	в одном	5	3
55	отнюдь не	14	3
56	в конце	3	3
57	ясно что	2	3
58	на его	2	2
59	на этот	2	2
60	и по	3	2
61	же самое	2	2
62	всяком случае	3	2
63	быть и	2	2
64	роль в	2	2
65	каждого из	2	2
66	можно назвать	2	2
67	а на	4	2
68	не менее	4	2
69	той же	3	2
70	в третьем	2	2
71	в его	9	2
72	и что	2	2
73	то и	2	2
74	во всяком	3	2
75	и во	2	2
76	что такое	23	2
77	такого рода	23	2
78	приводит к	2	2
79	свою очередь	5	2
80	из этих	5	2
81	так сказать	2	2
82	в самом	6	2
83	она может	2	2
84	и есть	2	2
85	еще более	2	2
86	что в	6	2
87	времени и	7	2
88	совершенно не	2	2
89	в таком	2	2
90	у него	8	2
91	из четырех	3	2
92	самом деле	6	2
93	уже не	7	2
94	в свою	5	2
95	в нашем	9	2
96	первые два	2	2
97	теперь же	2	2
98	могут быть	5	2
99	в отличие	11	2
100	отличие от	11	2
101	с одной	9	2
102	как мы	5	2
103	говорить о	5	2
104	что это	2	2
105	или иной	5	2
106	тем не	3	2
107	о жизни	2	2
108	как известно	2	2
109	и даже	3	2
