N	3gram	Ircho_Kome	VeschiIm
1	и т д	4	38
2	то ни было	4	12
3	бы то ни	4	12
4	тем не менее	2	11
5	в том что	13	9
6	т е в	2	7
7	на то что	2	7
8	так или иначе	4	6
9	в то же	5	5
10	то время как	6	4
11	о том что	6	4
12	в то время	8	4
13	то же время	5	4
14	можно было бы	3	3
15	вместе с тем	4	3
16	с одной стороны	5	3
17	с другой стороны	6	3
18	во всяком случае	4	2
19	для того чтобы	3	2
20	в этом отношении	3	2
21	том что он	4	2
22	к тому что	3	2
23	а затем и	2	2
24	то что он	2	2
25	в связи с	3	2
26	в конце концов	4	2
27	у нас в	2	2
28	и таким образом	2	2
29	в этом смысле	2	2
