N	2gram	Vinokur_Vv	Poddanst
1	не только	26	17
2	и в	35	14
3	и не	13	12
4	в области	4	11
5	в этом	35	10
6	в отношении	3	10
7	но в	10	9
8	то же	11	9
9	в том	38	9
10	в качестве	8	9
11	хотя бы	6	8
12	в то	6	7
13	только в	16	7
14	же время	6	7
15	но и	7	6
16	было бы	7	6
17	в ней	3	6
18	с другой	8	5
19	не в	10	5
20	в которых	6	5
21	отношении к	2	5
22	может быть	30	5
23	большей степени	2	4
24	по себе	11	4
25	что в	13	4
26	если бы	3	4
27	но также	16	4
28	и потому	2	4
29	в своем	3	4
30	том что	30	4
31	а также	3	4
32	мы должны	2	4
33	в котором	4	4
34	и к	3	4
35	как бы	7	4
36	то что	19	4
37	не может	19	4
38	в с	3	4
39	а в	6	4
40	что мы	2	3
41	и как	9	3
42	с тем	6	3
43	но не	9	3
44	д а	2	3
45	это не	8	3
46	т е	40	3
47	с точки	4	3
48	мы не	2	3
49	для того	23	3
50	в себе	4	3
51	точки зрения	12	3
52	потому что	18	3
53	одной стороны	4	3
54	в нем	13	3
55	между тем	10	3
56	и без	2	3
57	она есть	5	3
58	могут быть	6	3
59	прежде всего	10	3
60	и т	45	3
61	хотя и	5	3
62	с одной	4	3
63	заключается в	4	3
64	наряду с	3	3
65	должно быть	2	2
66	да и	4	2
67	взгляда на	4	2
68	в них	5	2
69	одна из	3	2
70	есть не	5	2
71	которое в	2	2
72	для них	2	2
73	не к	2	2
74	стороны и	3	2
75	и это	6	2
76	и тем	5	2
77	и других	3	2
78	в его	12	2
79	с этим	3	2
80	по сравнению	4	2
81	в ряду	2	2
82	и вот	3	2
83	в общем	14	2
84	не менее	9	2
85	говорить о	5	2
86	время в	2	2
87	со стороны	16	2
88	культуры в	5	2
89	именно в	8	2
90	именно как	3	2
91	в начале	3	2
92	в виде	4	2
93	тем более	2	2
94	все это	6	2
95	в частности	3	2
96	значительной мере	2	2
97	в сопоставлении	2	2
98	как на	12	2
99	а не	5	2
100	не было	2	2
101	и есть	3	2
102	например в	2	2
103	и с	2	2
104	может ли	2	2
105	во всех	2	2
106	в ее	11	2
107	не нужно	2	2
108	как раз	4	2
109	в значительной	3	2
110	того что	12	2
111	в силу	3	2
112	так называемые	2	2
113	из них	4	2
114	не столько	2	2
