N	2gram	Losev_Dial	Sovremen
1	не может	29	17
2	точки зрения	43	12
3	может быть	30	12
4	таким образом	14	11
5	мы не	11	9
6	не можем	3	7
7	и в	34	7
8	в этом	14	7
9	и не	50	6
10	ничего не	29	6
11	как и	14	6
12	только одна	3	6
13	в результате	7	6
14	мы можем	3	6
15	что же	12	5
16	с точки	25	5
17	все эти	4	5
18	и наконец	2	5
19	в условиях	2	5
20	прежде всего	20	5
21	нет и	5	4
22	вопрос о	9	4
23	зависимости от	4	4
24	это не	13	4
25	не только	35	4
26	в том	17	4
27	в зависимости	3	4
28	как бы	19	4
29	их в	2	4
30	так как	12	4
31	же это	4	4
32	если мы	5	4
33	жизни и	8	4
34	вместе с	3	4
35	а в	3	4
36	из них	4	4
37	для нас	2	3
38	может не	4	3
39	и мы	6	3
40	он может	2	3
41	ведь это	2	3
42	когда мы	3	3
43	и потому	6	3
44	но в	3	3
45	при этом	7	3
46	из двух	4	3
47	состоит из	2	3
48	не в	11	3
49	все же	4	3
50	как он	4	3
51	было бы	13	3
52	в себе	8	3
53	еще не	7	3
54	одна из	4	3
55	у нас	7	3
56	и все	17	3
57	все это	13	3
58	в нем	7	3
59	а не	39	3
60	в первом	2	3
61	и к	5	3
62	что она	13	3
63	в этой	3	3
64	при таком	2	3
65	то же	9	3
66	в одном	3	3
67	отличается от	9	3
68	отнюдь не	16	3
69	в конце	2	3
70	ясно что	16	3
71	только так	2	2
72	и по	2	2
73	всяком случае	3	2
74	что все	16	2
75	быть и	7	2
76	можно назвать	3	2
77	не менее	11	2
78	той же	6	2
79	не могут	6	2
80	мы видим	4	2
81	в его	6	2
82	к чему	2	2
83	он должен	3	2
84	с этим	4	2
85	и пр	16	2
86	говорить об	2	2
87	и что	21	2
88	то и	5	2
89	во всяком	5	2
90	и во	3	2
91	что такое	25	2
92	в науке	3	2
93	из этих	5	2
94	тот или	2	2
95	в самом	9	2
96	и есть	24	2
97	или же	3	2
98	в виде	11	2
99	что в	12	2
100	совершенно не	6	2
101	в таком	15	2
102	у него	2	2
103	в некоторых	3	2
104	самом деле	7	2
105	со всеми	2	2
106	уже не	9	2
107	свою собственную	2	2
108	то ни	4	2
109	если же	8	2
110	и они	3	2
111	могут быть	5	2
112	в один	2	2
113	же мы	5	2
114	отличие от	2	2
115	с одной	4	2
116	на этом	3	2
117	как мы	4	2
118	говорить о	13	2
119	мы знаем	3	2
120	что это	20	2
121	или иной	4	2
122	тем не	10	2
123	на котором	2	2
124	из которых	4	2
125	и даже	21	2
