N	2gram	Berdyaev_N	KFilosof
1	может быть	7	45
2	в нем	5	32
3	не может	16	29
4	и не	11	28
5	и в	16	28
6	не есть	3	22
7	в себе	2	21
8	в ее	3	17
9	а не	17	17
10	в этом	7	15
11	не в	6	13
12	но не	2	12
13	и это	2	12
14	ни в	6	12
15	в своей	3	11
16	во всех	3	11
17	все эти	2	11
18	это не	4	10
19	и для	4	10
20	все это	5	10
21	и есть	10	10
22	но и	3	9
23	и все	4	9
24	себя в	2	8
25	не было	4	8
26	лишь в	6	8
27	в мире	3	8
28	жизни и	8	8
29	должен быть	5	7
30	то что	4	7
31	уже не	2	7
32	конечно не	3	7
33	должно быть	4	6
34	в том	8	6
35	не имеет	4	6
36	в смысле	2	6
37	место в	2	6
38	я не	2	6
39	но это	6	6
40	он не	8	6
41	не значит	3	6
42	никогда не	6	5
43	не только	5	5
44	бытия в	2	5
45	хотя бы	2	5
46	жизни в	3	5
47	еще не	3	5
48	не знает	6	5
49	а в	2	5
50	но в	2	5
51	культуры и	7	5
52	есть лишь	4	5
53	как и	7	5
54	жизни как	2	5
55	в основе	3	5
56	том что	2	4
57	что в	9	4
58	и весь	2	4
59	времени и	2	4
60	быть в	2	4
61	прежде всего	4	4
62	к ним	3	4
63	мира и	2	4
64	в категориях	2	4
65	познания и	2	4
66	должна быть	3	4
67	в то	2	3
68	человека и	3	3
69	это и	2	3
70	и пр	3	3
71	по своему	4	3
72	нет и	2	3
73	не менее	4	3
74	о том	4	3
75	в ней	5	3
76	могут быть	2	3
77	но для	2	3
78	этом смысле	2	3
79	в час	4	3
80	и на	2	3
81	мы не	2	3
82	для этого	2	2
83	и мы	4	2
84	и потому	4	2
85	ли это	2	2
86	я уже	2	2
87	вопрос о	3	2
88	это было	3	2
89	с ее	5	2
90	к содержанию	2	2
91	все они	2	2
92	этот мир	2	2
93	так и	2	2
94	ни к	2	2
95	в жизни	5	2
96	с тем	3	2
97	как в	3	2
98	думать что	2	2
99	она не	3	2
100	ни одна	2	2
101	мы говорим	2	2
102	но я	2	2
103	потому что	4	2
104	совсем не	12	2
105	не будет	7	2
106	того чтобы	2	2
107	это есть	7	2
108	с его	6	2
