N	3gram	Vygotskiy_	TeoriaLi
1	в том что	24	10
2	по отношению к	9	10
3	в то же	2	8
4	в отличие от	4	7
5	в конечном счете	2	6
6	состоит в том	3	6
7	с другой стороны	3	6
8	в данном случае	5	5
9	для того чтобы	24	5
10	не может быть	6	5
11	и того же	3	4
12	одного и того	3	4
13	с точки зрения	31	3
14	с одной стороны	7	3
15	в этом смысле	2	3
16	в том числе	2	3
17	тем не менее	4	3
18	подобно тому как	2	3
19	той или иной	2	3
20	можно сказать что	7	3
21	по своей природе	4	3
22	в свою очередь	3	3
23	одно и то	3	2
24	не только не	11	2
25	и то же	3	2
26	до известной степени	2	2
27	в известном смысле	2	2
28	в самом начале	5	2
29	этой точки зрения	4	2
30	в самом деле	4	2
31	том числе и	2	2
32	том что он	2	2
33	мы имеем дело	2	2
34	к тому что	10	2
35	с этой точки	4	2
36	и тем самым	8	2
37	включает в себя	2	2
38	как и в	4	2
39	приводит к тому	3	2
40	не могут быть	3	2
