N	3gram	Losev_Dial	Tvorches
1	в то же	7	25
2	то же время	8	24
3	и т д	28	17
4	в том что	12	11
5	о том что	6	8
6	и в то	3	7
7	не может быть	4	6
8	и т п	3	5
9	в самом деле	3	5
10	по крайней мере	11	4
11	с точки зрения	18	4
12	с самого начала	2	4
13	до сих пор	4	4
14	в таком случае	2	3
15	точно так же	3	3
16	это значит что	16	3
17	с другой стороны	7	3
18	сами по себе	4	3
19	во всяком случае	3	3
20	что он не	2	2
21	на самом деле	3	2
22	тем не менее	3	2
23	потому что он	5	2
24	не только в	2	2
25	содержит в себе	5	2
26	можно сказать что	6	2
27	не значит что	6	2
28	в связи с	3	2
29	так как он	2	2
30	это не значит	3	2
31	в конце концов	4	2
32	но это не	2	2
33	как бы ни	2	2
34	только то что	6	2
35	и та же	5	2
36	не потому что	5	2
37	к тому же	2	2
38	а потому что	2	2
