N	2gram	Nazirov_Vr	Vvedenie
1	т е	3	40
2	в том	3	38
3	в этом	8	35
4	и в	8	35
5	том что	3	30
6	может быть	4	30
7	не только	9	26
8	таким образом	2	21
9	не может	2	19
10	то что	7	19
11	о том	4	16
12	и не	5	13
13	что в	7	13
14	в нем	6	13
15	точки зрения	2	12
16	в его	3	12
17	то же	5	11
18	но в	6	10
19	в той	2	10
20	между тем	5	10
21	и как	3	9
22	все же	6	9
23	не менее	2	9
24	в истории	4	9
25	это не	4	8
26	и то	2	7
27	как и	6	7
28	как бы	4	7
29	но и	7	7
30	его в	3	6
31	об этом	5	6
32	и даже	6	6
33	тем что	3	6
34	и это	2	6
35	а в	2	6
36	уже не	2	6
37	в то	5	6
38	и что	8	6
39	и его	3	6
40	все это	4	6
41	же время	5	6
42	вместе с	2	6
43	в виду	4	5
44	одним из	3	5
45	что он	4	5
46	в них	2	5
47	уже в	4	5
48	о чем	2	4
49	и ее	2	4
50	еще не	2	4
51	в чем	3	4
52	в котором	6	4
53	ответ на	2	4
54	из них	2	4
55	в себе	2	4
56	с точки	2	4
57	в своей	2	4
58	как раз	2	4
59	никогда не	2	3
60	одна из	2	3
61	в своем	3	3
62	а также	2	3
63	так же	4	3
64	в начале	6	3
65	к этому	3	3
66	в конце	3	3
67	отношение к	2	3
68	при помощи	2	3
69	в ней	4	3
70	в известном	2	3
71	в в	2	3
72	же как	2	3
73	при этом	4	3
74	он сам	2	3
75	и уже	3	3
76	наряду с	3	3
77	связи с	3	3
78	в этой	2	3
79	но как	2	2
80	тем более	2	2
81	это в	2	2
82	в этот	3	2
83	нашего времени	2	2
84	чтобы он	3	2
85	в связи	3	2
86	том же	2	2
87	а с	2	2
88	после этого	2	2
89	и далее	2	2
90	что к	2	2
91	на то	3	2
92	о которой	2	2
93	в своих	4	2
94	в свою	2	2
95	и с	6	2
96	но это	2	2
97	речь идет	3	2
98	несмотря на	4	2
99	не было	5	2
100	тогда как	2	2
101	не мог	2	2
102	рядом с	2	2
